CRAWLEY (BROADFIELD),,,,,,,,,,,,
Grid ref,TQ263345,Long,-0.197722,Lat,51.095908,,,,,,,
Station no,585,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.96,3.23,1.10,1.75,3.85,5.05,3.04,4.07,2.92,3.62,,
February,7.58,0.91,1.55,2.93,2.01,0.49,5.26,2.86,0.07,2.59,,
March,4.30,3.74,0.42,3.85,1.42,1.08,1.69,2.61,2.47,2.14,,
April,2.92,2.29,2.92,0.40,0.40,1.60,0.23,1.31,3.21,1.04,,
May,2.81,2.10,2.26,2.13,4.55,0.38,1.53,2.93,0.65,1.51,,
June,2.34,1.31,1.59,5.08,2.31,3.08,1.32,4.19,1.31,1.79,,
July,2.65,0.73,3.88,3.72,0.45,3.71,4.21,2.14,1.02,4.37,,
August,5.52,2.91,1.91,3.22,1.06,4.49,3.14,3.18,1.56,4.62,,
September,3.42,3.59,4.89,2.94,2.34,4.06,3.29,5.04,0.10,4.96,,
October,1.58,3.97,5.17,3.22,4.23,1.93,1.85,3.63,3.51,7.25,,
November,7.31,4.22,1.74,7.24,1.70,1.11,3.35,2.26,4.05,7.35,,
December,4.08,2.98,0.85,2.53,3.42,5.65,3.26,4.63,7.95,4.29,,
Total,48.47,31.98,28.28,39.01,27.74,32.63,32.17,38.85,28.82,45.53,,
Calc annual,48.47,31.98,28.28,39.01,27.74,32.63,32.17,38.85,28.82,45.53,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
