CHELSHAM-HENLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ370588,Long,-0.0346,Lat,51.31201,Elevation,607,ft,,,,,,,,,,,,
Station no,RR8075,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.79,3.28,0.77,1.44,2.24,3.52,2.93,2.73,4.07,2.05,,
February,,,,,,,,,1.96,4.17,3.59,3.04,2.64,4.81,2.31,4.07,0.6,0.78,,
March,,,,,,,,,1.32,1.01,0.9,2.44,1.06,1.26,1.98,1.65,1.76,1.9,,
April,,,,,,,,,3.97,3.06,2.21,0.71,3.85,1.74,1.7,1.87,2.02,1.86,,
May,,,,,,,,,3.66,4.28,0.47,1.39,1.37,2.47,0.65,4.16,5.12,1.69,,
June,,,,,,,,0.91,2.01,5.04,3.81,2.11,3.14,1.63,1.35,1.34,0.92,0.93,,
July,,,,,,,,3.79,0.68,4.77,4.43,3.31,3.11,2.68,1.74,0.34,2.48,1.26,,
August,,,,,,,,3.72,5.51,5.23,0.75,5.28,1.36,1.04,1.82,1.4,1.36,1.82,,
September,,,,,,,,1.37,1.4,3.9,6.09,3.29,2.9,3.35,3.27,5.9,1.8,1.92,,
October,,,,,,,,2.53,2.2,0.93,7.65,3.26,6.8,2.88,1.7,4.53,3.18,1.51,,
November,,,,,,,,7.14,4.93,1.79,3.64,4.79,3.61,6.16,1.85,3.61,4.16,4.48,,
December,,,,,,,,2.5,2.19,1.02,4.1,3.46,3.45,0.98,3.58,1.68,5.42,1.94,,
Total,,,,,,,,,31.62,38.48,38.41,34.52,35.53,32.52,24.88,33.28,32.89,22.14,,
