KELSO (HENDERSYDE PARK),,,,,,,,,,
Grid ref,NT740356,Long,-2.41432,Lat,55.613296,Elevation,180,ft,,
Station no,5058/3,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3,2.73,1.03,4.81,1.34,1.55,5.75,1.4,1.48
February,,1.72,1.17,1.65,2.15,0.83,1.73,1.4,0.76,2.88
March,,1.64,1.22,1.01,0.53,1.93,4.45,0.75,1.1,1.16
April,,0.9,1.29,1.57,1.07,0.45,3.13,1.95,1.16,1.52
May,,3.31,4.27,2.85,4.48,1.57,2.84,1.76,1.13,1.29
June,,1.11,3.54,2.33,1.98,1.94,3.95,4.41,1.23,1.94
July,,3.26,2.97,2.91,2.06,2.85,3.3,1.39,1.97,2
August,,1.5,3.45,1.81,3.22,5.04,0.21,9.85,1.96,3.11
September,,2.42,1.55,4.23,3.06,2.48,1.52,2.22,1.41,3.38
October,,2.12,2.05,2.12,3.27,0.67,0.68,2.5,4.86,1.51
November,,0.39,1.51,4.99,0.66,4.26,2.62,1.67,3.01,4.46
December,,1.24,0.84,2.01,1.25,1.45,1.78,1.59,2.54,1.73
Total,,22.61,26.59,28.51,28.54,24.81,27.76,35.24,22.53,26.46
,,,,,,,,,,
1950s TYR no data,,,,,,,,,,
