MELBOURN-MELBOURN-BURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL376441,Long,0.006480601,Lat,52.078168,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.29,2.37,1.06,2.13,2.31,2.69,1.22,2,1.72,1.05,1,1.23,1.8,3.08,3.48,2.54,3.96,1.51,2.14,2.05,3.96,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,2.65,0.67,2.89,2.36,3,1.28,0.51,0.51,1.7,0.29,1.53,0.41,1.97,2.05,2.82,0.43,0.59,1.53,1.88,0.72,1.06,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.81,0.77,1.33,0.2,2.08,1.25,0.06,1.61,0.16,1.56,1.49,1.53,0.47,0.69,3.54,0.35,1.76,2.82,3.02,0.98,0.72,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.29,2.76,1.47,2.83,1.71,0.86,1.64,1.87,3.07,2.41,1.08,1.67,2.86,1.57,2.45,0.22,3.33,1.43,1.06,0.76,1,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.15,3.94,2.56,2.41,0.99,1.73,1.33,2.4,2.56,3.81,1.76,0.67,1.26,0.74,2.49,2.19,1.52,1.11,1.76,1.85,1.55,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.66,1.89,0.35,2.48,2.41,2.2,1.08,0.77,1.82,0.74,2.47,1.78,2.28,3.26,1.82,0.52,1.84,0.28,0.72,0.47,2.41,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,2.91,3.56,2.64,2.98,2.02,2.53,2.27,2.49,3.78,1.85,0.72,1.76,1.34,4.93,2.18,1.16,1.29,3.68,1.92,2.49,0.69,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,3.63,1.89,2.59,0.76,2.75,2.13,0.75,2.05,3.43,2.45,1.13,1.98,1.08,0.55,1.78,1.29,2.61,0.14,3.46,1.48,1.59,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.99,2.37,2.57,2.27,3.64,0.67,0.16,3.26,2.25,2,2.12,1.16,3.62,3.16,1.86,2.47,2.15,0.49,0.94,1.11,1.17,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,3.57,3.52,3.07,2.28,1.66,3,3.22,0.98,0.7,3.88,1.85,1.69,2.37,1.6,2.8,2.42,4.05,1.73,2.25,3.23,1.97,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,1.32,2.63,1.71,3.1,2.03,1.54,4.34,3.87,2.47,1.64,1.17,1.81,3.26,2.66,1.59,2.32,3.19,6.36,2.41,2.03,1.21,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,2.07,2.56,1.63,0.43,2.51,2.3,3.77,2.48,0.77,0.32,0.39,3.03,2,1.65,2.57,2.9,1.04,1.47,1.3,1.87,1.18,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,24.34,28.93,23.87,24.23,27.11,22.18,20.35,24.29,24.43,22,16.71,18.72,24.31,25.94,29.38,18.81,27.33,22.55,22.86,19.04,18.51,19.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
