HEADLEY-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ208544,Long,-0.26889,Lat,51.27643,Elevation,570,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,1.37,3.4,4.51,3.18,2.48,3.99,1.79,3,3.03,4.19,2.52,4.65,1.85,3.89,2.18,3.61,2.83,2.55,1.23,6.32,6.12,3.55,6.62,2.94
February,,,,,,,5.42,1.09,1.57,2.65,0.64,0.26,2.86,4.64,0.67,4.22,2.77,4.66,1.99,0.47,0.94,2,0.46,3.13,0.45,4,2.49,4.89,0.87,1.94,2.65
March,,,,,,,4.4,1.93,1.1,3.94,2.14,1.62,2.3,2.19,1.35,0.93,0.37,3.56,2.59,0.08,1.86,0.43,1.8,4.19,2.42,0.63,1.87,3.92,0.43,1.65,3.72
April,,,,,,,1.03,2.49,3.63,3.18,3.4,1.2,3.36,2.25,3.78,3.01,3.7,2.32,1.85,0.84,1.75,4.55,2.82,0.74,2.69,3.7,2.08,3.4,0.21,3.11,1.58
May,,,,,,,2.17,1.7,1.92,0.19,0.72,1.83,0.74,2.9,4.11,2.4,1.46,1.26,2.36,2,2.62,2.66,4.36,2.91,0.74,1.68,0.67,2.54,2.08,2.01,1.58
June,,,,,,,2.08,1.76,0.98,1.1,1.59,0.08,1.38,0.39,2.73,0.18,4.56,4.76,2.98,1.53,0.44,1.73,1.87,1.67,1.19,3.68,3.36,2.01,0.71,1.32,0.94
July,,,,,,,1.36,4.89,5.52,2.29,5.77,0.56,4.84,3.69,3.98,3.81,1.69,2.96,2.02,1.46,3.22,3.92,3.02,1.98,2.03,0.81,5.27,1.4,2.23,3.36,2.68
August,,,,,,,3.41,6.58,1.21,2.72,1.59,1.68,2.61,3.37,3.23,2.42,1.8,4.42,2.61,2,4.34,4.37,0.54,1.08,2.05,3.61,1.46,1.56,2.53,2.34,0.11
September,,,,,,,1.63,1.8,5.33,1.88,3.26,1.17,2.05,1.47,3.97,2.82,1.1,6.2,1.16,0.12,4.51,2.5,2.23,2.97,2.12,4.28,3.15,2.1,2.32,1.77,1.88
October,,,,,,,5.13,3.86,1.62,0.78,1.42,0.64,1.31,6.97,4.39,3.62,2.41,2.07,6.37,4.43,1.58,0.69,6.37,2.05,2.5,4.26,2.22,3.23,3.4,6.84,3.88
November,,,,,,,6.47,1.44,2.98,2.05,2.04,1.68,2.11,2.04,3.99,3.09,6.84,3.26,3.12,8.43,5.17,3.72,1.46,1.2,3.09,6.8,4.84,2.21,5.01,5.64,8.77
December,,,,,,,3.22,1.76,2.75,5.24,2.79,1.84,4.75,3.4,5.14,3.35,0.41,5.45,2.96,7.75,2.64,0.86,0.78,0.56,9.02,4.71,4.55,4.58,4.59,2.22,1.69
Total,,,,,,,,30.67,32.01,30.53,28.54,15.04,32.3,35.1,40.34,32.88,31.3,43.44,34.66,30.96,32.96,29.61,29.32,25.31,30.85,39.39,38.28,37.96,27.93,38.82,32.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 All observations made at 9am GMT (BST not used),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Jan 1-5 Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Feb Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
