TROWBRIDGE-STEEPLE-ASHTON-VICARAGE (SCHOOL),,,,,,,,,,
Grid ref,ST907566,Long,-2.13479,Lat,51.30896,Elevation,260,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.44,
February,,,,,,,,,2.66,
March,,,,,,,,,0.73,
April,,,,,,,,,2.07,
May,,,,,,,,,2.76,
June,,,,,,,,,1.76,
July,,,,,,,,1.54,0.38,
August,,,,,,,,4.89,1.82,
September,,,,,,,,2.56,0.7,
October,,,,,,,,1.35,4.78,
November,,,,,,,,0.97,3.98,
December,,,,,,,,6.03,2.8,
Total,,,,,,,,,24.88,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge moved Jun 1897,,,,,,,,,,
