VAUXHALL-CROSS-WANDSWORTH-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ302780,Long,-0.12621124,Lat,51.485972,Elevation,48,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,0.25,0.55,1.18,1.52,1.73,1.12,3.01,0.89,0.74,0.66,1.7,1.21,0.35,1.26,2.6,1.36,0.6,1.73,0.58,1.93,2.21,,,,,,,,,
February,1.91,2.29,1.13,2.85,0.94,2,0.44,0.42,0.66,1.77,1,0,1.19,2.36,1.66,0.15,0.24,2.21,0.95,1.78,3.51,,,,,,,,,
March,0.54,1.73,1.03,0.53,0.98,1.4,0.88,1.27,2.37,1.19,1.44,1.24,0.97,0.3,0.78,1.15,2.69,3.32,1.12,0.35,0.79,,,,,,,,,
April,2.21,0.44,2.1,1.41,0.9,1.94,1.12,1.18,1.59,1.55,1.94,0.64,1.06,0.06,1.22,1.32,0.45,1.71,0.78,2.13,0.78,,,,,,,,,
May,0.44,1.11,0.91,1.46,0.54,1.89,4.3,1.3,0.8,3.04,1.03,2.09,1.31,0.46,1.39,0.25,0.12,1.1,2.04,0.96,0.76,,,,,,,,,
June,1.77,1.65,1.83,1.07,2.44,1.96,0.77,1.03,2.7,2.31,2.49,0.99,2.12,0.63,1.81,0.18,1.66,1.56,0.83,1,2.17,,,,,,,,,
July,3.89,1.52,1.84,1.88,2.1,0.41,2,0.73,5.1,1.75,3.9,4.1,1.26,2.37,2.77,3.8,1.09,0.53,0.9,1.06,1.1,,,,,,,,,
August,0.32,3.86,0.97,0.55,0.67,0.79,0.6,2.1,3.07,1.62,1.55,3.76,3.14,1.64,2.97,2.6,1.42,2.38,0.8,0.42,2.4,,,,,,,,,
September,4.12,1.6,2.05,2.78,1.43,3.98,1.39,1.34,0.96,1.53,0.54,0.9,2.06,0.8,1.11,1.33,5.54,2.59,0.31,2.8,0.43,,,,,,,,,
October,5.95,2.77,4.87,1.55,0.91,3.21,1.51,1.04,1.14,3.18,0.86,4.06,3.73,3.83,3.93,3.1,2.6,0.43,2.68,1.85,1.33,,,,,,,,,
November,1.76,2.06,2,2.34,1.24,2.53,2.41,3.23,3.54,0.6,1.19,1.75,2.18,2.07,2.53,2.69,1.13,0.83,1.85,3.75,1.34,,,,,,,,,
December,2.79,2,1.82,0.52,1.97,0.88,3.68,1.11,0.76,0.94,0.41,2.6,1.09,1.91,1.86,2.04,3.07,1.75,2.14,0.96,2.02,,,,,,,,,
Total,25.95,21.58,21.73,18.46,15.85,22.11,22.11,15.64,23.43,20.14,18.05,23.34,20.46,17.69,24.63,19.97,20.61,20.14,14.98,18.99,18.84,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Efra Creek near Wandsworth Road.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Altitudes match, note gauge height is 30 ft., presumably at roof level.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observers differ but both Bazalgette and Binnie were Engineers for London County Council.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
