EXMOUTH-MANOR-GROUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX999807,Long,-3.4158,Lat,50.61788,Elevation,13,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.46,5.08,1.14,0.67,1.26,3.31,1.04,3.79,5.25,0.63,2.17,0.9,0.8,3.35,4.33,3.75,2.49,4.15,1.33,3.64,,,,,,
February,,,,,,0.78,3.01,1.1,1.36,0.46,4.71,1.32,3.44,1.06,3.57,5.34,5.24,1.03,0.84,5.66,0.51,0.26,2.8,6.11,1.48,,,,,,
March,,,,,,4.39,0.96,0.52,2.8,4.81,0.56,2.76,4.7,3.37,4.38,0.45,3.75,3.99,1.04,,2.68,1.71,3.15,1.36,1.35,,,,,,
April,,,,,,2.42,1.03,3.84,2.3,1.78,1.89,1.05,0.09,3.86,1.25,0.7,0.46,1.46,1.79,1.36,2.69,0.71,2.95,2.44,2.8,,,,,,
May,,,,,,0.79,1.71,2.44,1.54,1.14,2.23,0.87,1.16,3.05,1.86,1.61,2.21,1.96,0.63,0.66,1.07,1.6,0.51,1.64,4.51,,,,,,
June,,,,,,2.16,2.62,1.44,0.56,3.14,1.95,2.05,5.11,0.21,1.44,1.63,1.52,2.18,0.58,0.87,1.75,0.37,0.63,0.21,2.42,,,,,,
July,,,,,,0.42,0.93,1.85,1.3,1.94,2.81,0.7,1.38,0.6,3.52,3.48,0.98,2.41,4.19,1.69,2.61,0.29,2.85,0.71,3.86,,,,,,
August,,,,,,4.31,1.4,0.61,3.48,1.73,3.85,0.4,6.32,0.8,2.02,1.87,4.33,3.56,2.51,2.29,0.54,1.89,2.87,1.8,2.5,,,,,,
September,,,,,,1.59,0.94,0.43,2.09,1.59,0.3,1.29,0.98,1.99,2.11,0.64,3.13,1.21,6,1.41,0.93,0.57,2.94,2.2,4.8,,,,,,
October,,,,,,2.14,4.38,6.22,2.6,4.68,4.67,3.66,4.43,4.2,2.62,5.32,5.75,2.65,1.37,1.07,1.96,1.03,1.14,4.28,5.45,,,,,,
November,,,,,,4.25,2.2,2.71,0.86,0.29,4.36,3.84,1.5,3.04,4.35,2.68,4.68,1.12,2.43,2.18,1.72,2.38,2.16,1.95,3.31,,,,,,
December,,,,,,0.93,1.27,4.25,3.36,4.56,6.14,8.62,4.43,1.96,7.56,7.78,4.29,0.71,2.94,4.15,3.76,1.29,5.61,2.07,4.05,,,,,,
Total,,,,,,25.64,25.53,26.55,22.92,27.38,36.78,27.6,37.33,29.39,35.31,33.67,37.24,23.08,27.67,,23.97,14.59,31.76,26.1,40.17,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location within grounds unknown NW seems to have lowest elevation of 19ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Mar Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Gauge moved to Waterworks Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
