"MINDRUM, THORNINGTON HOUSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT884334,Long,-2.1856234,Lat,55.594088,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.72,3.06,1.54,1.59,1.13,3.26,1.84,3.29,1.55,2.45,1.89,1.56,1.07,2.03,1.93,5.15,3.11,3.1,5.72,1.28,4.16,2.64,2.16,1.24,,,,,,
February,,0.98,2.25,4.27,1.15,4.52,2.76,0.39,1.37,1.62,2.63,1.73,0.7,4.99,0.33,1.53,3.88,3.72,0.9,1.29,2.16,4.43,1.63,0.79,1.9,,,,,,
March,,1.49,1.42,0.74,0.26,2.73,1.18,2.6,3.68,0,2.62,1.36,2.69,0.76,4.34,1.85,2.53,4.72,0.67,3.03,3.34,2.33,1.08,1.45,1.08,,,,,,
April,,0.49,2.89,2.29,1.46,2.82,2.71,1.34,1.27,1.45,1.72,2.46,1.77,1.5,8.93,3.79,2.37,1.31,0.48,1.94,1.29,1.92,0.4,1.28,1.65,,,,,,
May,,1.24,0.41,3.28,5.11,3.52,2.17,1.56,1.41,1.04,1.2,1.61,2.28,1.96,2.08,0.99,1.44,3.78,2.73,0.76,1.56,1.84,1.62,3.78,3.04,,,,,,
June,,0.69,1.92,0.96,2.18,0.27,4.36,2.82,3.59,1.88,0.79,5.22,0.89,1.6,2.68,2.66,2.2,1.86,3.27,2.1,2.74,1.26,1.61,2.01,3.01,,,,,,
July,,2.35,4.13,1.15,4.51,1.57,4.32,3.62,1.81,3.2,5.69,3.74,2.32,4.63,2.25,1.77,4.15,3.66,3.07,2.12,9.34,1.39,2.95,1.53,3.06,,,,,,
August,,5.62,1.63,3.81,3.12,2.14,4.78,6.39,3.17,3.48,5.11,3.04,1.37,1.64,2.87,4.11,1.29,2.95,2.42,0.86,1.14,2.84,1.49,3.89,1.98,,,,,,
September,,1.42,2.41,1.73,2.24,4.8,4.81,5.62,1.48,0.32,3.19,1.99,,1.11,1.29,2.16,3.23,1.48,2.03,1.31,2.53,0.45,2.61,1.63,5.8,,,,,,
October,,2.71,3.04,1.96,4.12,1.57,3.27,1.88,2.67,3.15,2.43,1.42,,3.64,5.88,4.34,1.54,3.76,3.53,5.47,2.87,3.65,2.49,2.85,2.49,,,,,,
November,,2.11,1.02,3.58,1.16,2.16,3.72,3.84,3.44,3,3.94,3,1.07,3.31,2.9,3.66,2.7,1.05,3.6,3.02,2.98,3.26,0.49,2.39,5.45,,,,,,
December,,1.9,2.82,3.27,2.34,4.2,0.75,2.6,1.66,4.87,1.78,0.89,1.32,1.2,4.16,2.94,1.63,5.59,2.45,1.83,2.84,0.64,1.91,1.24,2.7,,,,,,
Total,,24.72,27,28.58,29.24,31.43,38.09,34.5,28.84,25.56,33.55,28.35,,27.41,39.74,31.73,32.11,36.99,28.25,29.45,34.07,28.17,20.92,25,33.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932 Sept 4.93, Oct 5.52 estimated from surrounding stations; removed along with total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
