CARLUKE (GAIR RES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS857535,Long,-3.823092,Lat,55.761306,Elevation,665,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5168/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.63,3.38,2.02,0.79,4.56,2.96,3.21,2.39,2.82,2.63,5.53,2.89,1.55,2.97,2.7,1.2,3.33,1.93,1.7,4.07,2.54,1.04,2.83
February,,,,,,,,0.98,2.93,1.15,2.35,1.35,2.63,0.85,3.85,2.14,0.42,2.63,3.3,2.98,2.34,0.89,1.17,2.02,1.17,1.3,2.7,2.06,1.33,2.73
March,,,,,,,,1.81,3.46,2.86,2.4,1.3,1.72,0.67,1.98,1.79,2.46,1.95,1.22,2.42,2.31,1.3,0.54,1.43,1.73,2.17,2.55,1.24,1.45,1.94
April,,,,,,,,0.36,1.53,2.37,1.24,1.6,1.74,1.64,1.33,0.81,4.07,2.23,1.87,2.81,2.14,1.62,2.12,1.26,0.9,0.63,1.56,1.41,2.17,2.27
May,,,,,,,,3.59,0.57,2.69,5,1.86,3.57,1.59,3.38,1.29,3.17,1.29,1.38,1.49,2.01,1.44,2.24,3.86,2.73,1.21,2.14,2.92,0.75,2
June,,,,,,,,3.92,1.92,0.66,0.65,0.9,2.8,2.74,3.66,2.34,2.73,4.27,1.25,2.64,2.04,2.28,1.23,2.3,1.37,2.8,2.2,2.8,2.87,1.74
July,,,,,,,,3.6,3.78,5.56,3.48,2.8,2.65,2.94,2.84,3.78,2.33,2.06,1.26,3.72,2.78,3.1,4.5,2.96,1.47,4.79,4.08,5.81,3.38,2.59
August,,,,,,,,2.11,1.06,1.58,3.57,2.95,3.76,3.97,1.8,3.36,0.02,5.78,3.52,3.82,4.08,3.26,2.91,4.76,1.66,4.65,4.47,5.09,0.91,3.25
September,,,,,,,,2.52,2.27,3.81,0.71,3.68,1.86,4.58,5.52,5.25,3.12,4.29,1.58,7.92,2.24,1.76,2.24,4.44,2.93,3.82,2.38,3.71,0.83,1.94
October,,,,,,,,7.25,1.49,2.76,2.68,3.39,4.33,3.9,3.74,0.61,1.35,3.19,4.74,2.19,1.17,2.53,2.21,7.77,2.64,2.56,3.11,2.2,3.22,3.21
November,,,,,,,,5.5,5.42,3.92,1.94,0.48,1.77,6.38,0.2,4.11,5.09,2.26,3.06,3.09,4.28,2.81,4.98,4.53,1.3,1,1.52,1.4,5.28,3.87
December,,,,,,,,2.02,1.44,3.43,1.29,2.75,1.31,3.39,2.69,2.11,2,4.64,5.44,1.61,3.86,2.63,3.52,4.08,4.65,3.67,2.91,4.56,3.59,3.91
Total,,,,,,,,38.29,29.25,32.81,26.1,27.62,31.1,35.86,33.38,30.41,29.39,40.12,31.51,36.24,32.22,26.32,28.86,42.74,24.48,30.3,33.69,35.74,26.82,32.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Mar Adj for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5168/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,654646,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
