"GOSPORT AIR COMPRESSING STATION",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,674,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.25,3.38,2.20,2.21,0.73,4.73,6.61,3.61,4.39,3.33,,
February,1.82,0.15,3.55,0.03,4.02,2.65,4.89,0.46,1.31,3.79,,
March,1.63,1.27,2.87,2.84,0.63,1.92,3.79,0.45,1.11,3.19,,
April,3.17,2.41,1.20,2.11,2.83,1.90,2.08,0.02,2.24,1.05,,
May,3.23,4.30,1.92,0.99,0.58,0.09,1.91,1.41,1.20,0.65,,
June,1.50,1.59,0.87,0.89,2.47,3.03,1.12,0.41,1.20,0.18,,
July,3.33,2.81,1.33,0.72,3.25,3.62,1.62,1.37,2.83,3.13,,
August,3.03,1.11,0.66,2.76,3.44,0.15,1.69,1.69,1.23,,,
September,1.81,3.18,3.42,2.09,5.02,3.17,1.06,1.51,0.85,1.65,,
October,0.67,6.23,2.15,1.71,4.63,0.71,3.04,3.57,7.31,4.15,,
November,4.64,1.63,0.60,3.58,7.61,5.15,1.89,4.31,5.79,8.45,,
December,0.59,1.03,0.68,8.40,3.32,2.78,5.47,2.82,1.74,2.28,,
Total,27.67,29.09,21.45,28.33,38.53,29.90,35.17,21.63,31.20,31.85,,
Calc annual,27.67,29.09,21.45,28.33,38.53,29.90,35.17,21.63,31.20,31.85,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
