"OBAN (GLEANN-A-BHEARRAIDH RES.)",,,,,,,,,,,,
Grid ref,NM846272,Long,-5.491053,Lat,56.387838,,,,,,,
Station no,5412,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.73,5.27,5.33,4.89,3.26,5.83,8.34,5.89,1.77,4.44,,
February,4.12,3.04,3.61,3.98,0.93,1.99,5.53,2.55,2.67,3.79,,
March,3.64,4.53,2.19,3.87,3.03,2.60,5.14,0.89,4.54,1.90,,
April,4.53,3.28,3.24,2.29,3.48,2.27,3.62,1.93,4.83,4.74,,
May,1.02,1.48,3.37,3.12,4.02,3.98,1.94,3.88,1.80,3.48,,
June,2.32,4.91,0.96,4.63,1.81,2.47,1.28,2.21,3.64,3.31,,
July,5.44,3.61,6.74,4.50,3.24,5.41,7.96,4.01,7.63,4.07,,
August,4.34,5.22,5.71,5.40,1.41,5.25,4.12,5.59,2.79,3.56,,
September,5.09,4.63,8.43,8.50,8.82,5.27,4.55,4.34,2.48,3.73,,
October,4.26,6.62,6.71,11.48,6.59,4.23,7.74,8.26,5.93,2.55,,
November,6.78,2.72,11.53,9.94,1.89,3.84,3.92,2.35,6.78,8.10,,
December,13.22,7.57,6.85,9.03,7.54,8.93,6.39,5.03,9.22,8.22,,
Total,61.49,52.88,64.67,71.63,46.02,52.07,60.53,46.93,54.08,51.89,,
Calc annual,61.49,52.88,64.67,71.63,46.02,52.07,60.53,46.93,54.08,51.89,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
