OBAN (GLEANN-A-BHEARRAIDH RES.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM846272,Long,-5.491053,Lat,56.387838,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,9.5,6.8,6.8,,3.75,3.79,4.06,9.74,,5.7,3.5,8.68,8.47,6.39,2.39,5.26,5.97,6.01,4.96,7.22,5.25,5.5,9.3,11.54,8.75,6.35,7.1,4.7,0.36,8.72,6.06,4.39,4.53,8.86,11.54,7.1,8.17,5.56,4.11,7.81,9.83,11.21,3.29,8.88,5.93,11.59,5.62,7.82,3.88,4,9.83,9.77,4,0.93,0.7,6.25,7.53,7.16,2.45,9,5.13,8.86,8.94,5.65,6.73,5.27,5.33,4.89,3.26,5.83,8.34,5.89,1.77,4.44
February,,,,,,,,6.8,3.2,8.6,,4.1,5.63,7.08,10.03,,5.62,1.43,8.23,3.43,2.43,1.78,1.15,7.52,4.17,4.9,4.62,7.21,4.9,3.8,8.38,4.3,1.61,7.51,7.7,6.05,5.33,0.94,7.86,1.09,9.28,2.78,6.33,4.73,2.4,5.67,4.96,3.72,6.62,1.99,0.7,6.19,0.05,7.17,2.33,8.06,2.87,4.79,5.49,9.03,2.5,3.5,2.09,7.61,3.47,9.74,4.26,0.04,7.52,6.41,6.89,4.12,3.04,3.61,3.98,0.93,1.99,5.53,2.55,2.67,3.79
March,,,,,,,,1.84,5.4,4.2,,4.85,0.71,4.41,7.24,9.01,8.21,9.54,2.91,3.4,0.44,1.7,5.35,10.57,2.52,5.57,4.46,8.44,5.5,0.78,4.22,3.22,2.69,9.23,5.32,3.4,0.53,2.2,2.56,3.09,8.89,7.16,3.3,2.13,0.73,2.38,5.6,4.36,3.59,1.17,4.4,1.1,2.99,3.09,3.56,4.73,2.6,1.05,11,4.65,5.72,2.32,1.74,2.26,1.9,3.59,3.46,2.45,5.02,3.68,4.2,3.64,4.53,2.19,3.87,3.03,2.6,5.14,0.89,4.54,1.9
April,,,,,,,,0.61,2.8,3,,0.25,1.01,2.45,1.57,3.85,3.41,2.9,4.37,5.06,4.22,2.19,2.61,3.05,8.56,3.63,2.91,3.35,2.5,3.95,5.45,4.71,6.65,2.44,6.23,4.09,4.05,3.17,2.45,3.93,2.9,3.3,3.36,3.55,3.05,5.58,3.23,5.56,3.05,3.48,1.43,2.35,4.77,2.79,2.89,2.41,1.52,2.34,1.12,2.55,2.43,3.15,3.7,7.58,4.34,5.08,2.35,6.93,4.85,8.63,3.75,4.53,3.28,3.24,2.29,3.48,2.27,3.62,1.93,4.83,4.74
May,,,,,,,,2.44,7.8,0.47,,3.9,1.84,4.15,3.19,1.32,1.62,3.32,2.32,4.19,3.45,0.64,1.96,3.72,5.91,4.14,2.48,4,4.2,4.61,2.95,5.87,2.39,4.18,2.05,0.9,2.97,3.75,2.99,1.73,6.27,5.21,7.85,4.12,2.83,7.21,2.68,3.18,1.18,4.88,3.81,3.21,2.67,4.45,4.42,0.51,3.61,2.48,3.88,1.72,2.4,1.82,2.62,3.47,5.66,4.52,1.02,3.22,2.15,3.55,2.08,1.02,1.48,3.37,3.12,4.02,3.98,1.94,3.88,1.8,3.48
June,,,,,,,,3,5,1.85,,2.48,0.56,0.99,5.04,1.12,3.69,5.44,3.08,1.26,1.65,4.75,3.58,1.83,3.01,1.28,2.95,4.5,4.25,2.26,1.26,2.63,3.8,5.39,2.77,1.78,2.86,4.4,3.03,6,2.54,1.1,4.06,3.87,5.81,2.48,3.58,4.44,5.77,4.6,4.53,4.38,2.04,4.91,2.37,3.88,2.59,3.98,6.59,2,1.85,2.07,4.17,5.91,5.28,4.77,4.57,4.36,3.78,1.68,5.63,2.32,4.91,0.96,4.63,1.81,2.47,1.28,2.21,3.64,3.31
July,,,,,,,,3.1,3.4,0.25,,5.02,0.48,5.85,5.35,6.2,5.24,5.91,2.23,4.95,2.41,2.29,4.23,5.19,2.9,5.68,5.31,4.1,3.6,6.22,3.35,4.6,1.59,0.87,2.81,5.16,3.88,1.72,5.16,0.74,4.01,4.62,5.19,5.79,6.01,4.3,4.02,4.49,7.08,5.74,2.45,5.1,5,6.89,4.26,2.85,4.48,7.8,7.79,9.23,5.69,4.97,5.32,2.94,3.24,5.34,5.29,6.95,5.08,2.74,6.08,5.44,3.61,6.74,4.5,3.24,5.41,7.96,4.01,7.63,4.07
August,,,,,,,,1.97,4.6,3.24,,10.78,7.38,6.02,6.72,3.98,1.6,4.9,5.93,1.24,2.55,4.13,3.97,9.02,5.47,5.27,5.71,6.9,5.7,5.84,9.22,2.63,2.08,0.06,5.4,2.33,4.81,5.34,4.27,5.48,6.42,4.44,4.31,5.44,5.59,3.95,5.86,5.04,5.97,7.21,6.49,1.73,3.16,5.61,5.06,5.03,5.2,3.32,4.8,3.36,5.37,5.99,9.33,6.72,5.08,3.24,5.81,0.12,6.53,7.89,6.29,4.34,5.22,5.71,5.4,1.41,5.25,4.12,5.59,2.79,3.56
September,,,,,,,,9,4.9,3.32,,8.55,8.76,5.28,0.27,11.07,6.2,6.43,7.27,7.65,2.15,3.78,5.3,3.73,6.25,5.79,3.78,4.4,9.01,3,3.65,6.18,4.46,0.65,4.13,2.23,3.22,5.81,8.18,6.8,4.16,4.8,2.76,10.06,8.04,4.11,5.4,4.05,6.19,4.74,5.79,1.93,7.76,1.94,10.48,10.66,3.77,8.7,7.18,4.26,6.47,2.95,9.22,5.99,5.6,5.69,6.02,7.4,10.28,3.76,10.5,5.09,4.63,8.43,8.5,8.82,5.27,4.55,4.34,2.48,3.73
October,,,,,,,,5.6,4.4,1.47,,7.9,6.76,12.62,2.65,4.95,4.09,3.16,5.85,5.41,8.34,5.22,3.61,11.07,8.55,6.47,7.65,4.3,3.3,9.35,2.77,3.64,3.76,0.27,1.83,1.54,9.03,12.27,8.94,5.09,3.07,6.85,3.25,10.47,4.95,4.01,8.81,10.08,9.04,9.95,8.99,8.48,9.66,2.24,11.04,10.16,5.94,2.19,10.67,2.19,5.8,5.27,8.85,15.02,5.76,5.9,0.44,4.06,9.75,7.01,8.41,4.26,6.62,6.71,11.48,6.59,4.23,7.74,8.26,5.93,2.55
November,,,,,,,,6.4,10.6,,,5.73,6.57,4.49,10.31,7.46,5.66,4.51,5.1,5.28,3.64,4.49,4.94,9.25,3.78,5.78,4.05,3.8,6.1,3.85,6.35,6.3,6,7.37,7.75,3.64,8.23,8.63,8.17,4.25,9.38,3.1,5.31,8.05,6.03,3.05,7.89,6.88,9.82,7.63,5.92,7.83,9.61,3.27,2.49,5.04,7.44,1.73,14.36,10.25,11.1,5.97,2.21,4.83,4.18,0.66,5.42,10.37,6.15,8.05,6,6.78,2.72,11.53,9.94,1.89,3.84,3.92,2.35,6.78,8.1
December,,,,,,,,9.4,8,,,5.17,5.31,10.97,5.69,6.02,5.45,5.96,10.24,4.01,7.06,4.46,7.02,5.16,6.33,6.29,8.36,7.2,8,7.95,6.07,6.08,13.45,9.65,7.6,5.79,3.57,10.61,10.7,9.48,5.03,7.83,5.77,5.99,11.58,3.73,4.98,0.73,8.24,13.06,7.76,6.69,5.35,2.46,7.12,7.43,10.92,2.36,7.42,6.99,10.7,5.15,11.05,5.8,10.42,5.77,7.1,2.53,8.76,12.06,3.14,13.22,7.57,6.85,9.03,7.54,8.93,6.39,5.03,9.22,8.22
Total,,,,,,,,59.66,66.9,,64,62.48,48.8,68.37,67.8,,56.49,57,66.21,54.35,44.73,37.82,48.98,76.08,63.46,59.76,59.5,63.45,62.56,60.91,65.21,58.91,54.83,54.72,58.29,37.27,57.2,64.9,68.7,52.21,70.81,62.73,58.59,72.37,62.58,50.58,64.82,62.36,77.76,67.74,61.15,54.92,64.65,50.44,63.84,64.64,54.94,50.57,90.07,60.23,60.96,43.86,66.55,75.66,62.09,56.75,54.74,53.56,78.73,74.4,68.62,61.49,52.88,64.67,71.63,46.02,52.07,60.53,46.93,54.08,51.89
