MEADOW BANK UDDINGSTONE GLASGOW,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 68972 60721,Long,-4.092959,Lat,55.821905,Elevation,75,ft,,,,,,,,,,,,
Station no,RR3080,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,3,5.6,2.35,1.3,4.5,2.1,1.4,4.1,3.1,2.15,3.6,,,,,,,
February,,,1,2.1,2.42,1.35,1.25,3.1,3.5,3.5,2.4,2.13,2.4,,,,,,,
March,,,2.8,0.5,2.4,1.3,0.8,1.2,2.9,0.2,0.9,1.58,1.5,,,,,,,
April,,,2.5,3,2.05,0.6,1.3,3.7,1.05,1.5,1.3,3,0.5,,,,,,,
May,,,3.95,2.2,1.15,3.2,1.2,1.6,2.85,1.2,2.2,0.65,4,,,,,,,
June,,,3,0.5,1.68,0.3,1.6,1.2,2.1,2.5,1.6,1.1,3.5,,,,,,,
July,,,3.4,1.1,2.5,2.1,2.5,3,0.05,1.2,1.05,3.85,4.1,,,,,,,
August,,,5.8,2.7,0.94,4.7,3.1,3.8,1.05,0.8,2.2,5.1,7.6,,,,,,,
September,,,1.6,2.5,2.16,0.2,4.1,2.6,1.1,4.4,2.5,1.2,7.7,,,,,,,
October,,,5.4,3.6,2.54,3.7,1.2,2.6,3.9,1.8,3.1,1.89,1.6,,,,,,,
November,,,1.9,1.4,1.8,2.3,3,1.3,2.1,2.6,2.65,2.15,4.2,,,,,,,
December,,,3.75,3.8,2.45,2.2,4,2.2,3.2,2.55,2.3,2.5,4.1,,,,,,,
Total,,,38.1,29,24.44,23.25,28.55,28.4,25.2,26.35,25.3,27.3,44.8,,,,,,,
