"GRIMSTON (SCHOOL HOUSE)",,,,,,,,,,,,
Grid ref,TF721218,Long,0.549395,Lat,52.766376,,,,,,,
Station no,1475,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.87,,,,,,,,,,,
February,2.23,,,,,,,,,,,
March,3.28,,,,,,,,,,,
April,3.37,,,,,,,,,,,
May,2.00,,,,,,,,,,,
June,1.37,,,,,,,,,,,
July,1.55,,,,,,,,,,,
August,3.41,,,,,,,,,,,
September,2.47,,,,,,,,,,,
October,0.82,,,,,,,,,,,
November,3.10,,,,,,,,,,,
December,1.31,,,,,,,,,,,
Total,27.78,,,,,,,,,,,
Calc annual,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
