GRIMSTON-SCHOOL-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF7220221786,Long,0.55089789,Lat,52.766218,Elevation,62,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.1,2.17,3.59,2.3,1.96,2.63,0.85,1.42,1.39,1.99,2.85,3.42,2.36,4.76,1.42,2,2.84,3.41,2.44,2.96,1.71,1.76,3.55,0.96,0.86,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.61,2.11,1.5,0.6,0.97,2.31,0.75,2.17,0.58,1.64,2.47,2.94,0.51,0.81,1.7,2.7,0.92,0.51,1.27,1.85,3.47,1.36,0.71,0.77,3.98,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,0.51,1.91,1.26,0.27,1.61,0.6,1.79,2.42,1.73,0.38,0.69,3.5,0.4,2.09,1.87,3.04,1.59,0.39,0.25,1.34,0.78,4.8,0.55,1.03,0.5,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.57,2.08,1.56,0.97,2.78,3.44,3.67,1.33,2.8,2.65,1.65,2.38,0.54,1.82,1.69,0.86,0.91,0.95,1.59,1.45,0.99,1.67,0.79,1.86,2.44,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,2.8,1.39,1.96,1.51,2.71,2.4,4.38,1.75,0.92,0.5,1.42,2.68,2.33,0.84,1.33,2.03,2.38,1.85,1.22,2.6,1.54,0.31,3.62,2.32,1.96,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.56,4.65,2.54,1.26,1.04,1.51,0.72,2.76,1.32,2.47,2.48,1.35,0.95,2.2,0.39,0.66,1.45,1.34,2.06,2.56,1.78,2.09,2.92,0.8,2.44,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.08,2.68,2.04,4.41,5.33,3.12,4.67,1.14,1.17,0.73,7.6,3.07,1.89,2.1,2.25,2.81,3.84,1.08,1.98,1.04,3.03,1.57,2.11,2.68,3.84,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.39,3.26,1.84,0.75,3.99,3.11,1.78,0.41,2.37,1.16,1.37,1.5,0.77,1.26,0.62,3.67,2.47,1.42,1.31,2.65,3.13,0.04,2.94,2,3.94,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,2.03,2.78,0.61,0.66,4.31,3.09,2.7,1.89,1.55,3.56,3.71,1.92,1.98,1.8,0.88,0.46,2.12,1.76,4.82,1.78,3.07,0.95,2.05,0.75,3.2,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.34,2.39,3.08,3.39,1.12,1.26,6.25,3.28,1.8,3,1.94,1.62,2.92,3.72,2.06,3.14,3.09,1.49,3.52,2.91,2.37,0.3,2.44,4.07,1.15,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
