BIRCHINGTON-LENDEN (STATION ROAD),,,,,,,,,,,,,,,,,,,,
Grid ref,TR299693,Long,1.3020469,Lat,51.376178,Elevation,70,ft,,,,,,,,,,,,
Station no,RR6881,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,0.79,1.49,1.64,2.07,4.51,1.32,0.79,0.74,1.98,1.6,,,,,,,,
February,,,1.01,2.44,1.44,1.94,0.69,0.4,2.58,2.14,0.88,0.1,,,,,,,,
March,,,1.32,1.04,1.08,0.92,0.81,1.37,3.2,1.24,2.66,2.69,,,,,,,,
April,,,2.62,1.23,1.5,0.83,1.16,1.6,1.03,2.01,2.25,0.29,,,,,,,,
May,,,1.37,2.5,0.2,1.9,2.97,1.82,0.66,2.02,1.92,3.13,,,,,,,,
June,,,2.03,1.22,0.71,0.84,0.35,0.43,1.75,1.61,2.73,1.66,,,,,,,,
July,,,2.13,2.32,1.68,0.27,1.87,0.27,3.58,2.88,3.62,4.38,,,,,,,,
August,,,1.14,0.49,0.53,0.56,1.45,2.31,0.85,1.73,3.7,,,,,,,,,
September,,,3.98,3.11,4.8,3.85,1.01,3.18,0.77,1.06,0.75,,,,,,,,,
October,,,5.04,2.04,3.92,4.3,2.34,1.95,1.61,5.05,1.43,,,,,,,,,
November,,2.19,3.19,2.97,1.28,2.04,3.17,4.21,3.55,0.71,2.6,,,,,,,,,
December,,2.89,2.15,1.62,2.85,1.08,4.76,2.03,1.59,1.26,0.73,,,,,,,,,
Total,,,26.77,22.47,21.63,20.6,25.09,20.89,21.96,22.45,25.25,,,,,,,,,
