TEBAY,,,,,,,,,,,,,,,,,,,,
Grid ref,NY616044,Long,-2.5934787,Lat,54.433559,Elevation,666,ft,,,,,,,,,,,,
Station no,RR6244,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,7.87,1.41,1.19,0.42,4.37,,,,,,,
February,,,,,,,,,3.81,4.37,6.19,5.27,4.91,,,,,,,
March,,,,,,,,,2.83,5.43,2.93,5.79,5.51,,,,,,,
April,,,,,,,,,2.14,2.18,2.73,1.33,4.49,,,,,,,
May,,,,,,,,,4.8,2.16,2.23,5.22,2.54,,,,,,,
June,,,,,,,,,3.51,6.21,2.54,5.15,5.41,,,,,,,
July,,,,,,,,,1.64,6.03,5.71,6.95,8.12,,,,,,,
August,,,,,,,,,4.48,6.04,1.4,6.29,4.14,,,,,,,
September,,,,,,,,,4.73,4.2,4.42,3.23,2.78,,,,,,,
October,,,,,,,,,6.99,2.45,1.81,3.07,4.17,,,,,,,
November,,,,,,,,,2.98,1.71,7.38,8.77,6.16,,,,,,,
December,,,,,,,,,3.33,4.38,4.32,7.71,6.46,,,,,,,
Total,,,,,,,,,49.11,46.57,42.85,59.2,59.06,,,,,,,
