UPPER-BOOTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK104854,Long,-1.8451769,Lat,53.365369,Elevation,950,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2690/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.95,5.41,5.67,6.48,,4.48,5.06,5.09,,,5.81,4,11.18,3.44,3.44,4.42,,2.25,,3.7,,3.14,5.82,3.25,8.77
February,,,,,,3.57,6.51,2.05,3.82,,6.1,,4.62,3.48,4.66,7.6,2.53,3.21,2.44,6.75,5.42,1.93,3.25,,,,3.45,8.54,,3.77
March,,,,,,3.14,4.85,2.39,3.26,3.41,5.6,,1.61,1.89,1.78,1.6,7.26,1.75,2.43,2.4,,2.87,4.16,3.5,,1.88,4.66,3,,2.09
April,,,,,,1.55,5.13,0.65,3.61,,2.71,3.96,2.84,,2.54,1.79,4.09,2.68,5.15,4.9,3.23,4.2,3.25,1.39,,2.15,0.4,1.24,,2.23
May,,,,,,1.43,2.1,4.55,2.22,0.93,3.46,4.25,3.21,4.74,4.39,1.76,3.21,1.46,2.72,1.16,1.55,3.75,3.2,3.71,4.88,1.65,,4.36,0.85,2.2
June,,,,,,3.8,2.25,4.73,3.02,1.15,3.77,1.25,3.6,4.23,3.77,4.9,1.96,6.6,1.29,2.84,,3.3,3.83,3.52,3.61,3.38,2.1,5.99,,2.15
July,,,,,,6.16,5.29,5.97,6.73,4.91,3.82,6.32,2.26,4.67,2.2,5.27,3.05,3.7,3.13,3.42,3.95,2.15,6.15,6.77,0.42,7.98,4.98,7.43,,7.7
August,,,,,,3.48,1.2,2.23,2.32,2.74,7.42,4.37,6.1,2.94,3.45,5.58,0.55,6.51,2.17,4.35,,1.9,4.2,5.82,1.4,10.38,8.76,3.8,0.75,
September,,,,,,9.5,1.9,2.97,1.51,4.05,0.69,,5.25,,2.67,6.74,2.62,3,2.1,6.85,3.02,5.8,2.6,4.52,,4.38,8.52,8.25,0.28,4.55
October,,,,,,6.68,2.68,8.26,4.06,4.29,6.66,8.22,2.55,6.55,7.21,1.34,1.21,2.92,4.65,2.31,,,2.5,8.9,,,4.87,,,5.2
November,,,,,,5.65,2.47,5.44,8.33,8.92,4.24,1.65,5.87,8.5,0.59,8.08,6.95,2.9,7.23,7.36,10.88,,3.12,7.42,2.64,2.27,2.27,2.12,5.27,7.13
December,,,,,,4.09,4.13,4.65,2.88,5.95,3.68,5.41,3.5,4.17,3.45,5.71,5.91,4.95,8.64,2.95,7.3,4.63,2.74,7.05,5.3,7.2,5.38,,7.08,4.6
Total,,,,,,53,43.92,49.56,48.24,,52.63,,46.5,,,56.18,43.34,50.86,45.39,48.73,,,41.25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Upper Booth. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
