UPPER BOOTH NO 85,,,,,,,,,,,,
Grid ref,SK104854,Long,-1.845177,Lat,53.365369,,,,,,,
Station no,2690/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.42,6.00,2.25,5.50,3.70,8.00,3.14,5.82,3.25,8.77,,
February,5.42,1.93,3.25,4.20,3.80,2.28,3.45,8.54,0.76,3.77,,
March,8.40,2.87,4.16,3.50,3.80,1.88,4.66,3.00,2.20,2.09,,
April,3.23,4.20,3.25,1.39,2.43,2.15,0.40,1.24,3.65,2.23,,
May,1.55,3.75,3.20,3.71,4.88,1.65,1.90,4.36,0.85,2.20,,
June,2.20,3.30,3.83,3.52,3.61,3.38,2.10,5.99,2.30,2.15,,
July,3.95,2.15,6.15,6.77,0.42,7.98,4.98,7.43,4.15,7.70,,
August,5.37,1.90,4.20,5.82,1.40,10.38,8.76,3.80,0.75,5.60,,
September,3.02,5.80,2.60,4.52,2.60,4.38,8.52,8.25,0.28,4.55,,
October,1.70,6.00,2.50,8.90,3.50,4.65,4.87,5.17,4.20,5.20,,
November,10.88,4.40,3.12,7.42,2.64,2.27,2.27,2.12,5.27,7.13,,
December,7.30,4.63,2.74,7.05,5.30,7.20,5.38,5.02,7.08,4.60,,
Total,57.44,46.93,41.25,62.30,38.08,56.20,50.43,60.74,34.74,55.99,,
Calc annual,57.44,46.93,41.25,62.30,38.08,56.20,50.43,60.74,34.74,55.99,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
