BATH-COMBE-DOWN-(HOPECOTE),,,,,,,,,,,,,,,,,,,,
Grid ref,ST761623,Long,-2.34423,Lat,51.3596,Elevation,520,ft,,,,,,,,,,,,
Station no,RR7934,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,1.17,0.69,5.82,3.52,2.01,1.24,4.15,3.4,0.72,5.08,1.65,1.71,1.27
February,,,,,,,,3.98,2.16,3.67,5.84,1.23,1.32,2.12,3.96,1.03,2.44,1.63,1.5,0.75
March,,,,,,,,4.3,0.77,0.92,1.3,2.84,1.93,4.29,1.73,4.28,1.98,1.06,3.21,3.77
April,,,,,,,,3.44,2.49,3.58,1.42,2.62,1.49,3.22,1.76,2.66,1.22,3.5,3.19,2.28
May,,,,,,,,1.61,3.63,2.13,2.44,1.43,2.1,4.52,2.24,0.13,2.35,3.57,1.39,1.53
June,,,,,,,,3.35,2.36,2.44,2.13,1.59,3.53,4.98,1.6,3.49,2.82,2.76,0.7,3.05
July,,,,,,,,2.21,0.45,0.27,1.75,2.95,1.33,4.39,3.16,0.74,1.26,3.23,2.7,2.86
August,,,,,,,,6.02,3.12,1.22,3.07,1.78,3.21,4.95,3.07,5.45,2.55,2.89,4.11,3.54
September,,,,,,,,3.13,1.25,3.75,0.83,2.64,1.51,2.65,1.61,1.79,1.08,0.72,3,3.39
October,,,,,,,,1.8,4.8,2.62,3.31,1.91,2.17,7.3,1.09,1.67,5.98,6.26,2.12,6.05
November,,,,,,,,1.44,3.48,3.57,3.13,0.81,3,2.09,1.75,3.68,3.66,3.27,1.17,1.16
December,,,,,,,,4.79,3.86,2.69,6.16,5.51,2.15,2.35,2.19,1.13,1.93,5.7,3,4.77
Total,,,,,,,,37.24,29.06,32.68,34.9,27.32,24.98,47.01,27.56,26.77,32.35,36.24,27.8,34.42
,,,,,,,,,,,,,,,,,,,,
Hopecote Church Rd,,,,,,,,,,,,,,,,,,,,
1911 Nov Gauge moved 400yds W of 1909 position and fixed on iron tripod to avoid shelter by trees,,,,,,,,,,,,,,,,,,,,
