BATH-COMBE-DOWN-(NORDEN-COTTAGE),,,,,,,,,,,
Grid ref,ST753621,Long,-2.35569,Lat,51.35777,Elevation,500,ft,,,
Station no,RR7936,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,4.04,3.97,2.06,3.9,4.12,4.08,3.41,4.39,,
February,,0.32,4.16,7.3,0.44,4.19,1.88,4.17,2.82,,
March,,1.89,2.83,1.52,1.56,0.53,0.47,3.01,3.15,,
April,,0.76,3.07,2.25,2.74,2.75,3.39,1.88,1.56,,
May,,2.06,0.84,1.86,5.06,4.31,3.09,1.16,2.07,,
June,,0.09,1.53,0.64,3.46,0.01,4.79,3.74,2.91,,
July,,0.9,4.44,1.46,4.1,3.96,2.85,3.8,2.77,,
August,,1.92,4.28,3.35,2.82,2.13,1.75,4.76,3.55,,
September,,2.02,2.53,4.1,3.86,3.33,1.14,6.43,1.4,,
October,,1.31,2.25,5.15,5.66,3.42,4.4,2.4,4.72,,
November,,1.84,1.39,2.91,3.08,2.42,7.17,3.54,2.84,,
December,,1.87,4.45,4.25,4.89,4.66,0.65,2.64,3.54,,
Total,,19.02,35.74,36.85,41.57,35.83,35.66,40.94,35.72,,
,,,,,,,,,,,
Norden Cottage 1/3mile SW of Westbury,,,,,,,,,,,
1930 Elevation given as 660 which suggests gauge moved during 1929,,,,,,,,,,,
1930 Jan adjusted,,,,,,,,,,,
1930 Dec Record terminated,,,,,,,,,,,
