"EDINBURGH UNIVERSITY, FULTON LAB.",,,,,,,,,,,,
Grid ref,NT261734,Long,-3.184888,Lat,55.947931,,,,,,,
Station no,5141,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.90,1.03,2.68,2.47,,
February,,,,,,,0.68,1.04,0.99,1.09,,
March,,,,,,,1.91,1.79,3.00,4.50,,
April,,,,,,,0.97,1.28,1.75,2.30,,
May,,,,,,,5.15,3.06,1.98,1.64,,
June,,,,,,,1.48,2.65,0.92,1.69,,
July,,,,,,,2.00,3.35,3.50,3.46,,
August,,,,,,,5.20,4.26,1.62,1.70,,
September,,,,,,,0.67,1.34,2.45,2.57,,
October,,,,,,,6.02,7.62,1.22,4.78,,
November,,,,,,,3.53,1.04,1.45,0.76,,
December,,,,,,,1.28,3.80,0.40,3.07,,
Total,,,,,,,31.79,32.26,21.96,30.03,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,31.79,32.26,21.96,30.03,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
