"EDINBURGH UNIVERSITY FULTON LAB",,,,,,,,,,,,
Grid ref,NT261734,Long,-3.184888,Lat,55.947931,,,,,,,
Station no,5141,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.95,1.05,2.71,2.51,,
February,,,,,,,0.76,0.97,1.03,1.05,,
March,,,,,,,2.02,1.83,3.06,4.38,,
April,,,,,,,0.97,1.31,1.76,2.27,,
May,,,,,,,5.33,3.06,2.04,1.63,,
June,,,,,,,1.62,2.65,0.95,1.73,,
July,,,,,,,2.06,3.00,3.55,3.59,,
August,,,,,,,5.26,4.32,1.63,1.72,,
September,,,,,,,0.68,1.33,2.66,2.57,,
October,,,,,,,6.13,7.75,1.23,4.77,,
November,,,,,,,3.65,1.15,1.52,0.78,,
December,,,,,,,1.27,3.81,0.46,3.08,,
Total,,,,,,,32.70,32.23,22.60,30.08,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.23,22.60,30.08,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
