"EDINBURGH UNIVERSITY, FULTON LAB. - Monthly gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT257733,Long,-3.1912642,Lat,55.946971,Elevation,277,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,2.9,1.03,2.68,2.47,2.82,0.7,1.2,2.43,2.05,1.08,2.77,2.03,2.45,1.92,2.38,4.11,1.76,1.24,1.9,2.35,2.55,,,,
February,,,,,,,0.68,1.04,0.99,1.09,3,2,2.03,1.1,1.64,2.03,3.76,0.65,2.55,1.97,2.65,0.41,2.12,2.38,0.75,2.99,3.14,,,,
March,,,,,,,1.91,1.79,3,4.5,0.86,1.54,1.77,2.94,3.05,1.84,3.44,1.24,0.6,1.34,2.13,2.3,1.48,0.67,1.42,2.5,1.35,,,,
April,,,,,,,0.97,1.28,1.75,2.3,3.45,1.07,0.24,1.9,0.98,1.22,2.1,2.18,0.67,2.78,1.81,0.69,1.61,1.91,1.3,2.69,1.58,,,,
May,,,,,,,5.15,3.06,1.98,1.64,1.73,1.14,1.47,1.39,1.85,1.51,3.74,1.34,3.3,0.63,2.28,1.65,0.86,1.17,4.16,3.9,3.18,,,,
June,,,,,,,1.48,2.65,0.92,1.69,1.34,2.5,3.39,1.24,0.85,1.37,2.62,1.66,0.52,1.67,0.97,0.36,1.61,0.9,1.5,0.41,2.36,,,,
July,,,,,,,2,3.35,3.5,3.46,3.74,1.04,1.87,0.51,2.42,2.67,5.98,1.33,3.43,0.62,4.25,2.28,3.88,2.62,4.17,1.59,2.5,,,,
August,,,,,,,5.2,4.26,1.62,1.7,4.43,1.05,4.83,1.28,1.66,7,4.84,4.2,1.43,1.62,5.65,4.16,1.42,4.32,2.42,3.54,2.15,,,,
September,,,,,,,0.67,1.34,2.45,2.57,0.73,1.18,2.76,2.72,0.44,2.6,1.21,0.94,4.15,1.93,1.66,1.53,1.64,1.55,2.83,4.26,3.95,,,,
October,,,,,,,6.02,7.62,1.22,4.78,2.38,2.76,2.67,1.45,1.4,2.25,4.52,2.55,2.78,2.7,0.83,4.17,1.42,1.56,3.13,1.8,3.28,,,,
November,,,,,,,3.53,1.04,1.45,0.76,2.81,4.42,1.77,1.82,2.7,0.94,3.19,1.91,1.34,5.28,1.7,1,0.89,2.76,1,0.67,3.2,,,,
December,,,,,,,1.28,3.8,0.4,3.07,1.14,2.02,2.93,1.61,3.43,4.6,2.69,2.1,1.55,3.06,2.3,3.07,2.7,2.37,3.36,3.34,0.52,,,,
Total,,,,,,,31.79,32.26,21.96,30.03,28.43,21.42,26.93,20.39,22.47,29.11,40.86,22.13,24.77,25.52,28.61,25.73,21.39,23.45,27.94,30.04,29.76,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_27_pt1-page-195.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1910-1919_25_pt1-page-303.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_30_pt1-page-059.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
