LOCHWINNOCH (KAIM DAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS346622,Long,-4.641903,Lat,55.824624,Elevation,616,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5289/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.02,4.92,1.2,10.73,8.34,12.21,5.81,10.36,8.63,9.59,13.15,7.13,8.84,9.6,5.15,9.41,4.58,6,9.75,9.76,2.37,6.02
February,,,,,,,,,11.77,3.3,5.97,2.76,11.88,4.53,12.43,6.98,1.06,9.2,9.14,8,4.61,3.88,4.46,7.11,4.64,2.9,4.59,5.18,3.62,7.21
March,,,,,,,,,5.97,8.09,3.59,4.69,5.24,1.77,6.76,4.44,5.46,7.86,4.39,5,5.47,6.23,1.99,4.86,2.15,4.44,9.04,2.12,5.25,2.89
April,,,,,,,,,4.62,4.61,2.68,3.1,7.38,5.55,3.86,3.59,10.21,6.13,13,5.52,5.03,3.45,3.41,3.73,5.38,2.42,3.97,2.53,4.96,8
May,,,,,,,,,1.99,1.23,3.88,4.21,4.74,7,7.27,2.27,5.77,2.39,4.15,2.13,2.08,2.49,2.95,4.08,5.86,5.41,3.3,5.76,1.79,2.93
June,,,,,,,,,3.77,1.7,1.62,2.78,5.9,5.95,4.59,5.16,5.22,7.91,1.46,3.79,3.75,5.03,1.98,7.07,4.46,4.28,3.27,4,4.82,4.09
July,,,,,,,,,8.05,4.82,5.21,5.83,4.57,5.77,5.06,5.39,5.39,6.57,3.34,7.74,5.49,3.65,8.29,4.81,2.02,6.5,7.2,7.22,8.24,6.73
August,,,,,,,,,2.43,3.58,6.53,9.8,10.64,5.2,3.42,4.22,0.05,10.04,8.03,8.39,7.54,7.32,5.34,7.8,1.66,6.29,7.85,6.16,1.53,4.93
September,,,,,,,,,3.77,6.88,3.24,9.25,5.83,8.6,7.78,13.97,8.65,10.78,4.52,16.09,6.71,5.69,9.07,10.42,8.2,7.13,5.11,7.18,1.9,4.99
October,,,,,,,,,2.87,7.73,8.71,11.86,16.51,8.77,11.21,0.66,4.35,13.53,10.1,7.64,1.88,8.19,5.25,13.78,5.32,5.64,10.54,6.52,9.77,3.61
November,,,,,,,,,14.1,10.96,6.63,1.86,4.85,11.31,1.22,10.93,11.57,7.19,10.69,5.26,9.34,3.2,12.8,11.81,3.38,4.53,3.12,3.84,8.23,9.89
December,,,,,,,,,5.6,10.83,6.01,12.85,4.28,8.05,6.04,8.68,4.87,9.95,16.98,2.84,13.44,7.64,9.01,13.2,13.65,10.65,9.2,7.85,11.95,11.2
Total,,,,,,,,,71.96,68.65,55.27,79.72,90.16,84.71,75.45,76.65,71.23,101.14,98.95,79.53,74.18,66.37,69.7,98.08,61.3,66.19,76.94,68.12,64.43,72.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5289/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,659231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
