"LOCHWINNOCH (KAIM DAM)",,,,,,,,,,,,
Grid ref,NS346622,Long,-4.641903,Lat,55.824624,,,,,,,
Station no,5289/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.84,9.60,5.15,9.41,4.58,6.00,9.75,9.76,2.37,6.02,,
February,4.61,3.88,4.46,7.11,4.64,2.90,4.59,5.18,3.62,7.21,,
March,5.47,6.23,1.99,4.86,2.15,4.44,9.04,2.12,5.25,2.89,,
April,5.03,3.45,3.41,3.73,5.38,2.42,3.97,2.53,4.96,8.00,,
May,2.08,2.49,2.95,4.08,5.86,5.41,3.30,5.76,1.79,2.93,,
June,3.75,5.03,1.98,7.07,4.46,4.28,3.27,4.00,4.82,4.09,,
July,5.49,3.65,8.29,4.81,2.02,6.50,7.20,7.22,8.24,6.73,,
August,7.54,7.32,5.34,7.80,1.66,6.29,7.85,6.16,1.53,4.93,,
September,6.71,5.69,9.07,10.42,8.20,7.13,5.11,7.18,1.90,4.99,,
October,1.88,8.19,5.25,13.78,5.32,5.64,10.54,6.52,9.77,3.61,,
November,9.34,3.20,12.80,11.81,3.38,4.53,3.12,3.84,8.23,9.89,,
December,13.44,7.64,9.01,13.20,13.65,10.65,9.20,7.85,11.95,11.20,,
Total,74.18,66.37,69.70,98.08,61.30,66.19,76.94,68.12,64.43,72.49,,
Calc annual,74.18,66.37,69.70,98.08,61.30,66.19,76.94,68.12,64.43,72.49,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,,
