HALLING-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ698643,Long,0.4370717,Lat,51.352406,Elevation,74,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.35,0.81,2.18,0.8,2.54,2.93,0.32,2.92,1.25,1.02,3.18,3.49,2.69,2.32,2.78,1.47,2.31,2.06,2.67,1.95,3.16,0.9,2.77,1.72,2.27,1.66,2.14,1.25,4.43,4.88,2.84,4.39,2.06,1.97,2.16,5.55,1.64,1.93,1.6,2.13,3.45,0.98,1.27,3.01,2.28,0.9,1.21,2.81,4.72,1.46,2.77,2.65,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.96,0.67,3.16,0.91,1.31,0.85,2.37,3.41,3.27,0.54,0.86,2.06,0.4,0.8,2.11,3.79,0.54,3.4,2.44,3.59,1.5,0.5,1.06,1.93,0.3,1.19,0.43,3.41,1.81,4.7,0.8,1.54,1.17,2.55,0.82,1.18,1.05,1.72,2.75,1.05,1.62,1.12,4.39,5.93,0.75,1.29,2.95,2.02,0.34,4.01,2.32,0.04,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.11,3,1.72,1.83,2.95,2.22,4.82,0.79,4.76,1.58,0.96,3.24,0.61,1.49,2,1.91,1.15,0.74,0.41,2.67,1.79,0.1,1.31,0.15,1.39,2.97,2.43,0.45,1.15,3.37,0.43,1.66,3.28,1.62,2.87,0.52,0.08,1.45,1.21,4.61,0.7,0.72,1.54,3.38,2.32,0.16,2.48,1.07,0.83,1.31,1.2,2.04,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.18,1.67,1.74,1.71,0,2.73,0.87,1.45,1.53,2.08,2.27,3.11,2.98,1.4,2.57,1.59,3.1,1.87,5.73,1.57,2.19,1.34,1.48,3.75,1.82,0.57,1.84,3.26,1.94,2.24,0.59,2.29,1.1,2.12,1.52,1.44,1.54,1.24,2.16,1.62,1.45,1.5,2.45,2.93,1.01,2.46,0.3,0.2,1.12,0.17,1.79,2.28,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.75,1.32,2.65,0.8,0.84,1.39,1.59,3.89,1.76,2.23,1.72,0.23,0.62,1.43,0.57,2.67,2.54,1.96,1,0.86,2.77,1.26,3.1,2.69,2.94,2.08,0.69,1.71,0.42,2.77,2.37,1.84,0.76,1.61,2.73,3.01,0.72,2.46,3.61,1.75,1.61,1.52,1.4,1.72,0.78,1.88,1.27,4.35,0.47,1.34,1.77,0.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.31,2.23,2.01,1.08,2.79,0.32,0.75,0.46,2.01,1.43,0.87,1.07,1.06,0.14,1.12,0.92,1.84,0.37,2.34,2.93,3.03,0.74,0.72,1.28,0.6,1.3,1.63,2.02,3.81,2.25,0.65,0.99,0.39,2.47,0.58,1.73,0.92,0.98,1.67,1.68,2.69,0.56,1.36,1.34,1.4,1.79,3.37,1.98,2.58,1.21,3.88,0.93,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,3.01,3.7,2.03,0.55,1.24,2.28,0.79,2.92,1.48,6.38,4.84,2.08,3.8,0.34,2.78,0.74,2.98,2.67,2.07,3.02,1.84,1.19,3.14,2.17,2.18,2.72,1.61,0.73,2.72,1.21,1.35,1.94,4.95,1.82,2.49,1.56,1.98,3.11,1.5,2.53,1.17,0.89,2.54,2.81,0.55,3.86,2.53,0.46,3.48,3.01,2,1.99,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.68,2.13,1.18,0.78,4.02,0.93,0.48,1.83,2.82,5.13,1.25,2.36,1.68,0.82,2.03,2.21,2.56,1.83,1.64,4.66,2.87,2.6,2.94,4.55,0.8,0.66,1.76,2.73,1.28,1.18,1.08,3.46,0.07,4.16,2.3,1.51,3.43,2.66,4.72,0.05,3.38,1.57,1.49,3.64,2.8,1.5,3.46,1.12,2.77,1.99,4.44,1.23,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.67,2.56,0.73,1,2.84,1.74,0.61,1.94,0.91,1.26,4.36,0.99,3.88,1.03,2.98,1.58,2.73,2.33,0.54,4.79,0.53,0.66,2.76,1.82,1.59,3.31,1.45,4.61,2.02,1.74,2.46,1.25,0.72,0.47,1.73,2.31,2.61,0.42,2.83,1.64,1.29,1.04,2.29,3.85,3.15,2.86,2.2,2.34,2.41,2.52,3.14,0.18,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.36,3.69,1.66,4.08,2.7,4.19,2.43,1.32,2.94,3.83,2.25,0.54,0.68,1.22,1.58,5.46,3.76,3.91,2.43,1.34,4.54,2.75,1.31,0.58,5.38,1.61,1.81,3.33,2.09,2.57,2.66,8.44,2.82,0.75,3.17,2.3,4.66,2.18,1.21,0.28,1.88,6.32,0.16,0.64,2.12,2.5,2.02,4.41,1.21,1.37,3.48,2.6,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
