SIDMOUTH-SALCOMBE-REGIS-(VICARAGE),,,,,,,,
Grid ref,SY148888,Long,-3.20745,Lat,50.69311,Elevation,410,ft
Station no,RR7440,,,,,,,
,,,,,,,,
,1910,1911,1912,1913,,,,
January,,0.89,4.25,6.72,,,,
February,4.19,1.6,3.67,0.89,,,,
March,0.73,2.45,4.73,2.73,,,,
April,2.25,1.74,0.17,3.26,,,,
May,3.38,0.8,1.94,3.1,,,,
June,1.99,2.11,4.94,0.5,,,,
July,3.28,0.5,2.23,,,,,
August,5.04,0.6,6.48,,,,,
September,0.44,1.57,0.99,,,,,
October,4.19,3.46,4.68,,,,,
November,5.02,4.32,1.49,,,,,
December,5.82,8.57,4.38,,,,,
Total,,28.61,39.95,,,,,
,,,,,,,,
1910 Jan Estimated,,,,,,,,
1913 July Gauge moved 300 yds S to Spring Combe,,,,,,,,
