SIDMOUTH-SALCOMBE-REGIS-(SPRING-COMBE),,,,,,,,,,,,,,,,,,
Grid ref,SY147886,Long,-3.20817,Lat,50.69132,Elevation,340,ft,,,,,,,,,,
Station no,RR7440,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,0.98,1.26,4.09,5.3,4.88,2.58,4.79,1.19,4.77,,,,,,
February,,,5.33,6.06,1.18,1.53,5.14,0.49,0.27,2.92,7.59,1.32,,,,,,
March,,,1,3.55,3.26,1.52,5.32,3.01,1.71,3.37,1.13,1.28,,,,,,
April,,1.07,0.88,0.68,1.49,1.74,2.03,4.24,0.79,3.02,3.58,2.88,,,,,,
May,,1.64,1.99,2.82,2.18,1.45,1,1.66,1.8,0.89,1.48,4.77,,,,,,
June,,1.56,2.12,2.23,1.79,1.31,0.93,2.42,0.89,0.91,0.44,2.82,,,,,,
July,0.32,5.51,3.63,1.13,3.41,5.11,2.03,3.95,0.5,3.69,1.13,4.45,,,,,,
August,1.05,3.18,1.93,4.01,5.12,2.82,3.04,1.13,3.04,4.34,2.13,3.71,,,,,,
September,2.58,3.73,1.13,,,,2,1.54,-999,2.47,3.09,5.92,,,,,,
October,3.72,4.18,7.19,,3.85,,1.81,2.86,-999,-999,5.22,6.56,,,,,,
November,3.09,3.57,2.53,,2.18,2.59,4.16,1.47,4.39,-999,1.98,3.15,,,,,,
December,2.48,,7.48,,0.83,3.54,4.28,4.3,1.76,,3.75,4.3,,,,,,
Total,,,,,,,37.04,31.95,19.65,,32.71,45.93,,,,,,
,,,,,,,,,,,,,,,,,,
1913 July Gauge moved 300yds S from Vic ,,,,,,,,,,,,,,,,,,
1917 Sept Part estimated,,,,,,,,,,,,,,,,,,
1918 Sept Oct Part estimated,,,,,,,,,,,,,,,,,,
1921 Sept Oct Apportioned Combined total 1.92,,,,,,,,,,,,,,,,,,
1922 Oct Nov Apportioned Combined total 3.45,,,,,,,,,,,,,,,,,,
1922 Dec Estimated from surrounding stations,,,,,,,,,,,,,,,,,,
