"WIGTON BROOKFIELD FRIENDS SCHOOL",,,,,,,,,,,,
Grid ref,NY242478,Long,-3.181180,Lat,54.819292,,,,,,,
Station no,3615,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.44,2.44,2.88,4.92,3.11,2.23,4.65,1.40,3.35,3.76,,
February,4.34,1.30,0.80,5.91,2.79,1.98,2.53,1.92,3.41,1.98,,
March,0.76,2.50,2.69,6.21,3.73,3.83,2.50,3.54,4.13,4.49,,
April,2.54,2.14,1.82,1.71,3.12,2.82,1.19,2.07,2.44,2.54,,
May,2.38,1.48,2.50,2.71,2.94,2.02,4.59,3.65,3.11,1.48,,
June,3.52,2.39,1.63,2.55,2.58,1.61,1.73,5.36,2.58,2.65,,
July,2.40,1.30,3.34,6.43,2.51,1.93,2.41,2.09,4.60,5.80,,
August,6.80,4.55,2.38,6.60,3.13,2.92,8.33,4.23,4.51,2.87,,
September,2.69,1.17,2.60,4.09,1.42,2.86,1.28,0.48,3.40,2.82,,
October,6.09,3.82,3.55,11.16,1.72,2.69,5.50,7.00,1.59,6.12,,
November,3.92,4.26,2.40,3.40,3.95,3.34,3.05,3.60,2.66,1.57,,
December,6.06,4.23,4.09,2.48,3.21,2.10,3.06,6.31,2.64,5.53,,
Total,44.94,31.58,30.68,58.17,34.21,30.33,40.82,41.65,38.42,41.61,,
Calc annual,44.94,31.58,30.68,58.17,34.21,30.33,40.82,41.65,38.42,41.61,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
