EAST-HARPTREE-CASTLE-OF-COMFORT,,,,,,,,,,
Grid ref,ST543532,Long,-2.65654,Lat,51.2761,Elevation,880,ft,,
Station no,2025/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,2.33
May,,,,,,,,,,1.57
June,,,,,,,,,,4.31
July,,,,,,,,,,6
August,,,,,,,,,,7.51
September,,,,,,,,,,4.41
October,,,,,,,,,,8.73
November,,,,,,,,,,5.72
December,,,,,,,,,,4.56
Total,,,,,,,,,,
,,,,,,,,,,
Site o/s,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Castle of Comfort Inn SRC_ID 9357,,,,,,,,,,
1960-1971,,,,,,,,,,
