"LANARK, SUNNYSIDE",,,,,,,,,,,,,,,,,,,,
Grid ref,NS 86372 44042,Long,-3.808458,Lat,55.676525,Elevation,384,ft,,,,,,,,,,,,
Station no,RR2047,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,3.08,2.39,2.91,,,,,,,,
February,,,,,,,,,,4.46,2.55,2.32,,,,,,,,
March,,,,,,,,,,0.8,0.84,2.65,,,,,,,,
April,,,,,,,,,,1.01,0.67,2.78,,,,,,,,
May,,,,,,,,,,1.31,2.19,0.59,,,,,,,,
June,,,,,,,,,,1.64,1.62,1.8,,,,,,,,
July,,,,,,,,,,1.25,1.22,5.06,,,,,,,,
August,,,,,,,,,,1.07,1.18,4.79,,,,,,,,
September,,,,,,,,,,4.26,2.52,1.75,,,,,,,,
October,,,,,,,,,,1.41,2.54,2.75,,,,,,,,
November,,,,,,,,,,3.91,1.83,2.18,,,,,,,,
December,,,,,,,,,,4.38,1.51,3.78,,,,,,,,
Total,,,,,,,,,,28.58,21.06,33.36,,,,,,,,
