"GIRVAN (GLENDRISSAUGH RES)",,,,,,,,,,,,
Grid ref,NX188950,Long,-4.849823,Lat,55.215892,,,,,,,
Station no,5271/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.79,5.51,2.16,5.41,3.61,3.63,4.65,6.00,1.85,3.87,,
February,3.02,2.32,1.63,3.59,3.00,1.56,3.28,4.41,1.87,5.34,,
March,3.69,1.47,0.68,3.67,2.25,2.51,3.71,1.38,4.19,1.58,,
April,2.00,1.70,1.89,1.45,3.48,1.16,2.25,1.92,3.38,3.25,,
May,2.10,1.90,2.48,3.05,3.10,2.67,1.75,2.74,2.18,2.00,,
June,1.91,2.50,1.49,4.96,3.75,3.21,2.95,3.58,3.06,2.46,,
July,2.74,2.55,6.70,5.48,1.74,5.49,5.26,4.22,3.85,4.83,,
August,4.87,9.07,3.02,3.85,1.81,7.60,5.03,5.63,1.31,5.24,,
September,3.51,3.73,6.00,6.25,4.08,6.14,4.61,4.09,2.33,3.86,,
October,1.41,7.81,4.06,10.20,3.95,3.73,5.59,3.79,6.48,2.80,,
November,7.25,3.66,5.99,5.89,3.60,2.14,3.21,2.72,4.11,5.44,,
December,7.24,5.30,4.88,6.41,4.65,5.61,4.22,5.68,6.93,6.81,,
Total,44.53,47.52,40.98,60.21,39.02,45.45,46.51,46.16,41.54,47.48,,
Calc annual,44.53,47.52,40.98,60.21,39.02,45.45,46.51,46.16,41.54,47.48,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
