THORNTON-HEATH-THORNTON-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ323685,Long,-0.099532,Lat,51.400112,Elevation,172,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,0.95,1.59,1.54,0.46,1.49,2.8,1.55,0.46,1.81,0.78,2.48,,,,,,,,0.36,1,0.84,2.18,1.1,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.01,0.98,0.12,1.4,3.06,1.6,0.22,0.3,1.83,1.27,2.18,,,,,,,,2.01,1.5,,3.38,1.14,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.6,1.86,2.14,1.31,0.63,0.95,0.96,2.72,3.89,1.07,0.56,,,,,,,,0.4,2.43,4.06,1.25,1.92,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.32,1.89,0.63,1.55,0.07,1.61,1.38,0.73,1.34,1.13,2.05,,,,,,,,3.48,2.74,2.13,1.6,2.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.77,1.31,2.47,1.18,0.88,1.24,0.35,0.15,1.37,2.73,1.3,,,,,,,,1.86,1.9,1.24,2.37,0.89,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.41,1.72,1.05,2.72,0.86,2.38,0.1,1.81,2.14,1.29,0.74,,,,,,,,2.65,1.14,3.6,1.97,2.47,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.99,4.02,3.96,2.62,2.1,3.73,3.18,1.68,1.63,0.82,0.56,,,,,,,,1.3,4.42,3.15,3.04,0.6,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.6,1.92,3.94,3.26,0.59,3.32,2.72,2.22,2.46,1.1,0.71,,,,,,,,2.92,3.45,1.75,2.62,2.21,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.16,0.48,0.78,2.28,1.09,1.57,0.61,5.42,2.51,0.38,2.29,,,,,,,,0.38,1.93,2.98,0.96,1.07,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.55,0.98,5.34,4.14,3.51,4.44,2.52,2.89,0.52,2.8,2.2,,,,,,,,2.81,2.34,4.21,2.94,3.34,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
