THORNTON (COUNCIL OFFICES),,,,,,,,,,,,
Grid ref,SD337420,Long,-3.009779,Lat,53.869953,,,,,,,
Station no,3057/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.58,2.44,2.77,4.64,4.36,4.51,3.46,5.51,,
February,,,0.85,3.47,2.42,0.42,3.39,6.28,0.49,3.00,,
March,,,0.54,2.07,1.64,1.36,2.56,1.52,2.56,1.52,,
April,,,2.66,1.08,2.15,2.25,0.41,1.52,3.13,2.24,,
May,,,2.07,2.88,2.58,1.91,3.74,4.00,1.57,2.81,,
June,,,1.62,4.17,4.51,2.35,2.20,4.09,3.91,1.47,,
July,,,4.60,4.65,2.29,4.44,4.16,3.19,4.17,5.03,,
August,,,3.86,4.96,1.22,12.96,5.73,3.39,0.42,3.06,,
September,,,5.18,7.16,3.14,4.08,6.07,3.65,0.39,3.55,,
October,,,1.78,10.07,3.04,3.39,6.53,4.15,3.95,3.73,,
November,,,4.57,7.77,2.29,2.10,1.69,1.82,4.33,8.48,,
December,,,1.85,4.62,4.40,4.79,5.25,3.39,7.51,3.83,,
Total,,,31.16,55.34,32.45,44.69,46.09,41.51,35.89,44.23,,
Calc annual,0.00,0.00,31.16,55.34,32.45,44.69,46.09,41.51,35.89,44.23,,
Difference,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
