BIRMINGHAM-WW-BOD-TALOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN868749,Long,-3.6637486,Lat,52.360429,Elevation,1250,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4244/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,11.92,10.81,3.76,3.98,9.19,8.61,8.13,5.98,8.56,5.43,15.34,5.49,4.15,7.8,9.42,3.38,8.11,4.36,10.48,7.27,7.22,9.06,10.92
February,,,,,,,,5.02,8.28,4.79,6.3,2.41,5.97,4.53,9.47,12.35,,6.25,3.63,11.94,7.99,5.21,3.82,6.15,4.95,1.71,6.34,11.86,1.36,8.7
March,,,,,,,,2.56,4.18,4.94,5.63,4.33,2.21,1.34,3.33,1.41,,4.41,5.08,3.47,9.77,3.43,6.74,5.96,3.88,5.69,6.55,2.14,4.4,3.27
April,,,,,,,,1.1,4.73,4.33,2.96,4.26,2.75,2.55,3.01,2.47,4.46,4.3,6.38,6.81,8.28,2.73,5.53,2.59,5.28,3.28,0.47,2.92,6.28,6.68
May,,,,,,,,3.42,1.31,2.53,5.13,7.12,5.62,3.03,4.67,2.79,3.49,3.27,4.96,1.93,3.4,3.61,3.79,4.03,8.6,1.99,3.69,4.66,3.38,2.36
June,,,,,,,,6.3,3.2,0.85,1.75,0.76,5.87,3.85,6.5,5.34,2.96,7.48,0.78,2.74,1.98,4.45,1.99,6.45,8.03,4.92,2.45,5.37,4.68,3.24
July,,,,,,,,6.17,10.31,9.82,3.16,7.62,4.48,4.51,3.24,5.58,4.88,3.66,4.34,5.04,3.78,3.01,9.46,8.09,1.54,5.91,10.96,6.13,6.19,7.76
August,,,,,,,,5.35,3.55,2.64,10.6,4.87,7.03,3.8,4.84,9.69,0.69,6.94,3.87,8.56,6.99,6.24,5.8,8.36,2.05,9.46,13.19,5.21,0.68,5.25
September,,,,,,,,2.84,1.21,5.95,2.1,5.52,7.74,7.49,4.74,11.17,3.88,6.21,2.33,12.92,5.27,6.71,6.61,9.31,6.03,7.45,14.21,9.61,0.79,5.4
October,,,,,,,,11.16,2.99,8.32,7.78,10.71,6.24,11.78,5.8,3.12,1.36,5.72,9.35,5.13,2.29,6.98,3.45,13.04,5.56,5.26,8.88,7.54,11.64,7.29
November,,,,,,,,9.42,18.29,15.15,5.34,1.22,8.47,11.43,1.1,11.38,9.55,3.83,10.47,10.21,14.09,5.39,7,12.97,4.1,5.37,5.06,4.28,7.91,11.25
December,,,,,,,,8.11,6.54,7.53,6.83,9.73,3.62,7.44,7.83,7.39,8.52,8.93,13.74,5.66,11.14,7.88,2.84,11.05,8.6,8.24,9.06,6.13,13.31,11.04
Total,,,,,,,,73.37,75.4,70.61,61.56,67.74,68.61,69.88,60.51,81.25,,76.34,70.42,78.56,82.78,65.06,60.41,96.11,62.98,69.76,88.13,73.07,69.68,83.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Bod Talog. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
