"BIRMINGHAM W.WKS (BOD-TALOG)",,,,,,,,,,,,
Grid ref,SN868749,Long,-3.663749,Lat,52.360429,,,,,,,
Station no,4244/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.80,9.42,3.38,8.11,4.36,10.48,7.27,7.22,9.06,10.92,,
February,7.99,5.21,3.82,6.15,4.95,1.71,6.34,11.86,1.36,8.70,,
March,9.77,3.43,6.74,5.96,3.88,5.69,6.55,2.14,4.40,3.27,,
April,8.28,2.73,5.53,2.59,5.28,3.28,0.47,2.92,6.28,6.68,,
May,3.40,3.61,3.79,4.03,8.60,1.99,3.69,4.66,3.38,2.36,,
June,1.98,4.45,1.99,6.45,8.03,4.92,2.45,5.37,4.68,3.24,,
July,3.78,3.01,9.46,8.09,1.54,5.91,10.96,6.13,6.19,7.76,,
August,6.99,6.24,-999.00,8.36,2.05,9.46,13.19,5.21,0.68,5.25,,
September,5.27,6.71,6.61,9.31,6.03,7.45,14.21,9.61,0.79,5.40,,
October,2.29,6.98,3.45,13.04,5.56,5.26,8.88,7.54,11.64,7.29,,
November,14.09,5.39,7.00,12.97,4.10,5.37,5.06,4.28,7.91,11.25,,
December,11.14,7.88,2.84,11.05,8.60,8.24,9.06,6.13,13.31,11.04,,
Total,82.78,65.06,60.41,96.11,62.98,69.76,88.13,73.07,69.68,83.16,,
Calc annual,82.78,65.06,54.61,96.11,62.98,69.76,88.13,73.07,69.68,83.16,,
Difference,0.00,0.00,5.80,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
