WHITBY - PANNETT PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ895109,Long,-0.620,Lat,54.486,Elevation,148,ft,,,,,,,,,,,,,,,,,,,,
Station no,3475/5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.02,1.52,2.66,5.22,5.22,2.44,3.99,1.89,3.62,,,1.27,4.82,1.24,2.00,6.08,0.56,,1.64,2.32,1.11,1.79,1.28,4.40,1.70,3.14,2.97,4.84
February,2.67,1.87,2.76,2.51,3.98,0.90,1.19,1.94,5.03,,,2.13,1.26,1.03,2.24,0.99,0.85,,2.77,0.90,1.98,1.97,2.30,2.95,2.10,4.00,0.43,1.92
March,1.22,2.24,0.81,0.90,5.06,0.12,1.63,1.69,2.40,,,0.64,0.45,0.98,3.65,1.06,1.23,,3.51,1.23,0.19,1.77,2.06,1.01,0.82,2.98,0.91,1.34
April,0.58,1.61,2.56,0.84,3.03,0.22,1.39,1.88,1.24,,,2.07,1.62,2.56,2.84,0.78,,,1.41,0.77,2.22,0.21,0.80,0.57,0.58,1.40,2.88,0.73
May,1.88,0.70,1.37,2.08,3.95,2.65,1.84,0.52,1.73,,2.24,0.43,,1.31,1.58,1.13,,,5.17,1.52,1.46,1.69,2.34,0.55,0.93,2.44,0.42,1.15
June,2.06,1.35,2.75,2.87,0.90,1.93,3.20,0.42,0.91,,1.67,3.41,,2.01,2.42,2.20,,,1.59,1.27,3.58,1.34,2.12,3.34,2.20,2.60,1.18,0.45
July,2.21,2.07,0.26,2.49,1.78,2.97,2.23,5.83,2.15,,1.50,2.21,,3.89,1.68,0.78,,,1.62,2.70,1.63,1.35,1.01,2.40,2.90,2.69,1.33,3.33
August,0.17,2.30,1.43,1.72,1.58,2.43,2.48,1.51,2.86,,2.92,3.90,,3.87,0.23,3.37,,,6.74,1.39,1.71,6.14,0.91,6.16,2.83,1.54,0.55,3.87
September,1.48,0.77,4.54,2.35,2.09,1.29,1.22,1.41,0.54,,2.93,4.61,1.43,3.38,1.84,1.32,,,1.49,4.76,1.21,1.14,0.89,1.90,3.59,1.33,0.55,2.79
October,4.61,1.44,3.94,1.68,3.17,2.60,5.70,3.24,3.82,,1.14,2.76,2.17,0.41,0.58,1.52,,1.09,1.64,2.46,1.31,3.79,2.89,1.99,2.55,1.40,1.96,7.65
November,2.79,2.74,4.84,2.20,2.65,2.75,2.69,3.22,2.39,0.53,3.42,4.36,1.09,3.93,1.62,0.53,,4.12,4.71,5.02,1.71,5.03,1.38,1.64,2.08,0.82,4.67,3.91
December,1.13,4.87,2.55,2.21,4.42,3.54,2.06,3.06,,1.31,1.35,1.82,1.62,3.00,1.75,2.29,,2.99,2.14,2.79,0.78,2.14,3.67,2.52,1.53,3.34,4.56,2.65
Total,22.82,23.48,30.47,27.07,37.83,23.84,29.62,26.61,,,,29.61,,27.61,22.43,22.05,,,34.43,27.13,18.89,28.36,21.65,29.43,23.81,27.68,22.41,34.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for December 1941 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The original 8 inch gauge was replaced with a 5 inch gauge in August 1938.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1970 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
