HAMSTALL-RIDWARE-NO-2-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK103193,Long,-1.8487717,Lat,52.771197,Elevation,240,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2358/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.9,5.28,3.35,2.59,3.13,4.17,2.71,1.83,2.18,1.87,4.63,1.23,0.84,2.06,2.76,0.85,1.1,1.96,3.56,1.17,1.81,2.8,5.04
February,,,,,,,,0.71,0.9,2.35,1.93,1.01,1,1.72,2.21,3.78,1.22,1.26,0.52,4.29,2.44,0.62,1.37,2.33,1.99,0.57,2.01,3.82,0.33,1.81
March,,,,,,,,0.51,1.12,2.03,2.6,2.01,0.87,0.18,0.85,0.74,5.24,1.02,1.5,0.86,3.9,1.69,1.13,1.94,2.44,1.24,1.85,1.42,1.74,1.43
April,,,,,,,,0.16,1.84,2.44,1.23,1.18,1,2.49,1.43,1.09,1.79,1.87,2.34,2.26,1.78,2.28,2.22,0.41,1.21,1.2,0.2,0.51,2.72,1.05
May,,,,,,,,1.46,1.59,1.49,2.4,3.07,2.91,0.62,3.83,2.11,2.85,1.7,1.65,1.18,3.27,2.47,2.23,2.3,3.67,0.93,0.73,1.54,1.1,1.37
June,,,,,,,,1.82,1,0.73,0.86,0.11,2.39,2.2,2.29,2.89,1.51,3.36,0.33,0.95,1.48,2.37,2.3,3.04,3.19,1.98,1.48,4.07,0.96,2.87
July,,,,,,,,3.29,4.15,3.73,6.5,1.74,1.42,2.37,1.8,1.45,3.68,1.94,1.51,2.16,0.84,1.21,2.69,3,0.58,1.98,3.59,5.48,1.36,3.78
August,,,,,,,,2.63,3.04,0.47,3.74,3.02,2.23,1.89,1.85,4.93,0.68,4.3,1.23,2.45,4.49,1.64,2.52,4.47,0.92,4.46,5.29,2.41,1.17,4.22
September,,,,,,,,3.85,0.69,0.53,0.31,1.3,2.42,2.48,1.89,3.56,1.72,2.28,1.15,3.46,2.09,1.18,1.96,1.95,2.07,2.37,5.59,2.28,0.23,4.73
October,,,,,,,,2.13,3.28,3.05,2.97,2.37,1.78,2.7,3.76,0.95,0.43,2.43,4.29,1.11,0.71,3.09,1.65,3.77,1.68,1.69,1.47,2.88,2.1,5.02
November,,,,,,,,2.89,3.82,6.68,2.84,1.37,1.56,4.02,0.25,4.91,2.24,1.13,2.8,3.46,5.94,1.46,1.64,4.58,2.37,0.65,1.97,1.42,3.46,3.14
December,,,,,,,,2.85,1.68,1.55,1.39,2.74,0.87,1.57,1.67,2.48,2.02,3.72,2.03,1.84,2.31,3.41,1.13,3.08,1.67,3.02,1.14,2.95,3.53,3.35
Total,,,,,,,,25.2,28.39,28.4,29.36,23.05,22.62,24.95,23.66,31.07,25.25,29.64,20.58,24.86,31.31,24.18,21.69,31.97,23.75,23.65,26.49,30.59,21.5,37.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is in Hamstall Ridware. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
