"FYLINGDALES VICARAGE",,,,,,,,,,,,
Grid ref,NZ949052,Long,-0.538503,Lat,54.433371,,,,,,,
Station no,RR1702,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,0.59,,1.37,,,2.57,0.84,,1.60,,
February,,3.70,,1.72,,,,1.39,,0.23,,
March,1.26,3.54,,1.88,,,,0.86,,3.95,,
April,0.83,0.11,,2.06,,,1.03,1.94,,2.20,,
May,2.02,2.86,,3.01,,,3.69,2.72,,1.30,,
June,1.37,1.08,,2.27,,,0.61,3.33,,3.55,,
July,1.20,2.26,,3.04,,,1.79,0.69,,1.94,,
August,4.91,1.29,,1.64,,,1.94,2.15,,4.44,,
September,0.53,,,2.33,,,0.44,0.44,,1.64,,
October,2.95,,,5.11,,,4.78,4.38,,2.77,,
November,2.38,2.62,,1.51,,,2.03,4.24,,0.92,,
December,2.13,4.14,,3.83,,,2.22,3.37,,3.61,,
Total,26.83,24.14,,29.77,,,23.50,26.35,21.87,28.15,,
Calc annual,19.58,22.19,0.00,29.77,0.00,0.00,21.10,26.35,0.00,28.15,,
Difference,7.25,1.95,NaN,-0.00,NaN,NaN,2.40,0.00,21.87,-0.00,,
