FYLINGDALES VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ949052,Long,-0.539,Lat,54.433,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915
January,,3.35,3.43,0.41,2.00,1.50,,,,1.51,,-999.00,1.00,-999.00,,-999.00,0.59,,1.37,,,2.57,0.84,,1.60,3.75,1.66,2.71,2.77,1.33,2.80
February,1.76,1.34,0.83,2.50,0.53,1.94,,,,1.50,,-999.00,2.33,-999.00,,-999.00,3.70,,1.72,,,-999.00,1.39,,0.23,2.78,0.87,1.55,1.60,1.13,3.75
March,2.10,2.06,2.86,3.19,4.69,1.34,,,,1.25,,-999.00,3.11,2.72,,1.26,3.54,,1.88,,,-999.00,0.86,,3.95,0.85,1.37,2.56,2.41,2.30,0.85
April,2.01,2.79,0.94,2.35,2.94,1.41,,,,1.02,,-999.00,2.42,2.44,,0.83,0.11,,2.06,,,1.03,1.94,,2.20,1.35,0.82,0.35,2.18,0.19,0.49
May,2.23,3.74,2.49,1.46,3.18,2.72,,,,2.00,,-999.00,,2.89,,2.02,2.86,,3.01,,,3.69,2.72,,1.30,2.20,0.78,2.41,1.97,1.31,2.38
June,2.72,1.10,0.11,2.26,0.61,1.47,,,,4.91,,2.04,2.41,1.70,,1.37,1.08,,2.27,,,0.61,3.33,,3.55,1.74,4.53,4.37,1.15,2.02,0.05
July,0.88,5.10,0.49,5.32,1.88,3.63,,,,0.54,,0.89,,0.56,,1.20,2.26,,3.04,,,1.79,0.69,,1.94,1.60,0.72,4.38,0.85,3.32,5.08
August,2.87,1.56,1.90,3.58,3.41,3.71,,,,2.48,,2.43,3.51,-999.00,,4.91,1.29,,1.64,,,1.94,2.15,,4.44,2.96,1.74,2.96,0.17,0.80,2.15
September,3.49,1.27,3.66,2.13,1.20,0.41,,,,1.39,,3.00,1.05,-999.00,,0.53,-999.00,,2.33,,,0.44,0.44,,1.64,0.30,1.72,1.67,1.43,0.89,1.91
October,4.40,2.48,3.06,2.10,3.77,2.26,,,,5.71,,3.66,1.35,3.07,,2.95,-999.00,,5.11,,,4.78,4.38,,2.77,3.40,2.35,2.21,3.00,0.92,2.48
November,2.08,2.09,3.12,3.65,2.00,4.00,,,,1.21,,1.85,,3.83,,2.38,2.62,,1.51,,,2.03,4.24,,0.92,1.52,3.03,2.40,1.37,2.93,2.10
December,1.06,3.48,3.68,1.79,2.18,2.87,,,,1.62,,2.51,2.38,1.68,,2.13,4.14,,3.83,,,2.22,3.37,,3.61,3.22,4.30,0.80,1.39,3.98,6.27
Total,,30.36,26.57,30.74,28.39,27.26,,,,25.14,,20.65,,20.92,,26.83,24.14,,29.77,,,23.50,26.35,,28.15,25.67,23.89,28.37,20.29,21.12,30.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The following readings are marked as being aggregated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Jan-Mar 1896, Apr-May 1896, Jan-Feb 1898, Aug-Sep 1898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Jan-Feb 1900, Sep-Oct 1901, Feb-Mar 1906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The total for 1897 has been omitted as several monthly readings are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The totals for 1891 and 1908 have been omitted - they seem likely to be estimates as there are no monthly readings for the year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
