ST-HARMONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN990726,Long,-3.48397,Lat,52.342145,Elevation,918,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4244/0/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.15,3.36,3.65,5.84,7.38,5.68,4.08,6.9,4.1,12.51,2.68,1.42,5.04,6.26,1.5,4.18,3.42,7.38,3.5,4.3,5.2,7.64
February,,,,,,,,,3.66,3.3,4.1,0.65,4.32,2.35,5.74,9.07,1.89,3.38,2.16,8.9,5.41,1.76,2.08,5.06,2.66,0.87,4.45,5.85,0.35,5.42
March,,,,,,,,,2.34,3.07,2.79,2.83,1.13,0.57,1.42,1.06,10.21,3.23,1.91,2.62,5.79,1.69,4.04,3.68,3.82,3,3.57,1.01,3.34,2.6
April,,,,,,,,,3.18,2.66,1.58,3.78,1.26,1.44,2.03,1.47,3.56,3.22,4.66,3.56,4.27,2.4,3.5,1.26,2.35,1.81,0.29,1.19,4.54,3.26
May,,,,,,,,,0.99,2.47,2.69,6,4.08,1.66,2.9,2.78,3.24,3.44,2.66,1.57,3.43,3.02,1.82,3.36,4.84,0.59,2.87,3.13,1.87,1.84
June,,,,,,,,,2.36,0.93,1.11,0.76,3.75,2.02,4.63,4.32,2.97,4.24,0.65,1.52,0.89,2.55,1.3,4.36,5.78,2.82,1.78,3.57,5.56,2.21
July,,,,,,,,,8.74,5.48,,3.52,2.21,2.19,2.12,2.49,3.95,2,0.83,4.5,1.95,1.57,5.45,3.15,0.69,4.26,4.23,5.51,3.59,5.33
August,,,,,,,,,1.95,0.71,6.45,3.78,4.69,2.61,2.55,7.16,0.43,3.54,2.6,6.36,4.46,5.02,5.51,5.7,1.22,5.54,5.25,3.87,0.68,3.6
September,,,,,,,,,0.55,2.6,1.57,3.13,6.64,4.4,2.69,7.25,2,3.97,2.16,9.14,3.97,4.11,4.7,4.88,2.19,4.84,7.57,6.66,0.15,4.11
October,,,,,,,,,2.72,6.02,5.79,5.4,4.56,7.09,5.53,2.11,0.55,3.47,7.5,2.59,1.16,5.03,3.34,6.3,3.27,3.37,3.22,4.51,5.22,6.07
November,,,,,,,,7.86,11.17,11.4,3.8,0.75,5.27,6.4,1.23,9.29,6.06,2.7,7.37,6.34,9.35,3.58,4.38,10.27,4.11,2.72,3.23,2.66,5.56,8.73
December,,,,,,,,4.66,3.48,4.92,4.05,6.98,2,5.15,5.89,5.76,5.28,8.42,7.55,2.87,6.28,5.02,1.58,5.72,5.05,4.41,4.01,4.64,8.06,7.73
Total,,,,,,,,,48.29,46.92,,43.42,47.29,41.56,40.81,59.66,44.24,54.12,42.73,51.39,52,42.01,39.2,57.92,39.4,41.61,43.97,46.9,44.12,58.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is in St Harmon at the correct altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1943 and Feb 1944 readings and the associated totals have been amended with no explanations but have been left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
