NEWARK-CASTLE-GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,SK796540,Long,-0.81323434,Lat,53.077306,Elevation,63,ft,,,,,,,,,,,,
Station no,RR7213,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.84,0.57,0.75,1.77,1.17,3.3,2.29,1.11,2.14,0.67,2.25,1.41,
February,,,,,,,,1.2,1.41,0.58,1.65,1.07,1.05,0.88,1.02,2.29,3.37,0.79,1.7,
March,,,,,,,,1.16,2.85,2.74,0.58,1.54,1.95,2.96,2.05,0.82,3.26,1.33,0.76,
April,,,,,,,,1.46,2.12,1.59,2.26,0.73,0.11,2.06,0.95,0.71,1.43,1.35,1.41,
May,,,,,,,,3.12,1.5,0.66,2.49,1.54,2.48,1.76,1.51,1.58,2.65,1.78,1.85,
June,,,,,,,,2.28,1.44,2.59,1.93,2.2,3.78,0.58,2.16,1.59,2.1,1.2,0.56,
July,,,,,,,,1.49,2.2,2.59,1.88,0.12,3.3,0.34,3.38,4.3,1.66,1,2.31,
August,,,,,,,,2.03,2.56,3.46,3.06,1.62,4.19,1.36,1.27,2.8,2.84,4.43,1.33,
September,,,,,,,,0.8,1.4,2.65,0.39,1.35,0.85,1.75,0.73,0.93,0.86,0.97,3.41,
October,,,,,,,,3.38,0.87,2.35,1.38,2.19,1.98,5.63,1.85,1.02,1.6,2.78,1.47,
November,,,,,,,,1.91,1.06,0.35,3.45,2.03,2.2,1.84,2.35,2.74,2.7,0.77,1.76,
December,,,,,,,,2.18,1.31,3.56,3.3,3.44,2.83,0.73,3.83,4.88,1.85,0.64,2.47,
Total,,,,,,,,21.85,19.29,23.87,24.14,19,28.02,22.18,22.21,25.8,24.99,19.29,20.44,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1914 Jul IDR,,,,,,,,,,,,,,,,,,,,
