NEWARK CASTLE GARDENS,,,,,,,,,,,,
Grid ref,SK796540,Long,-0.813234,Lat,53.077306,,,,,,,
Station no,RR7213,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.84,0.57,0.75,,
February,,,,,,,,1.20,1.41,0.58,,
March,,,,,,,,1.16,2.85,2.74,,
April,,,,,,,,1.46,2.12,1.59,,
May,,,,,,,,3.12,1.50,0.66,,
June,,,,,,,,2.28,1.44,2.59,,
July,,,,,,,,1.49,2.20,2.59,,
August,,,,,,,,2.03,2.56,3.46,,
September,,,,,,,,0.80,1.40,2.65,,
October,,,,,,,,3.38,0.87,2.35,,
November,,,,,,,,1.91,1.06,0.35,,
December,,,,,,,,2.18,1.31,3.56,,
Total,,,,,,,,21.85,19.29,23.87,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.85,19.29,23.87,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
