"DARWEN (DAISY GREEN)",,,,,,,,,,,,
Grid ref,SD726242,Long,-2.416625,Lat,53.713492,,,,,,,
Station no,2945,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.21,6.71,2.63,4.77,4.94,6.82,5.47,5.77,5.03,7.32,,
February,4.38,1.78,2.77,5.36,4.00,2.43,5.52,7.61,0.86,7.71,,
March,5.84,2.78,2.49,3.96,3.47,2.63,3.87,1.70,3.20,2.12,,
April,3.18,4.37,5.41,1.28,4.35,3.46,0.56,1.22,5.06,3.74,,
May,2.06,3.30,3.41,3.29,5.44,2.51,2.53,5.99,1.20,2.80,,
June,1.74,4.34,4.22,4.25,4.75,2.90,2.32,5.64,5.18,2.32,,
July,4.19,3.53,5.63,7.87,1.35,7.47,10.09,4.49,5.73,11.55,,
August,6.09,6.41,6.49,8.75,1.44,17.39,8.97,6.44,0.90,7.62,,
September,3.98,5.98,5.85,6.98,5.82,3.48,9.98,6.67,0.45,3.80,,
October,1.40,6.45,2.40,10.16,4.48,3.39,9.05,6.96,6.94,6.25,,
November,10.04,3.35,6.66,9.84,3.68,2.45,3.00,2.35,8.79,10.83,,
December,12.27,5.24,2.08,9.35,8.47,8.15,7.50,5.91,13.19,6.68,,
Total,60.38,54.24,50.04,75.86,52.19,63.08,68.86,60.75,56.53,72.74,,
Calc annual,60.38,54.24,50.04,75.86,52.19,63.08,68.86,60.75,56.53,72.74,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
