BLACKBURN DAISY GREEN No 1 gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD726241,Long,-2.416617,Lat,53.712593,Elevation,969,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.87,0.45,0.95,4.11,6.72,5.46,2.59,6.26,2.66,2.08,2.41,8.22,5.21,4.46,2.14,5.15,4.39,2.39,2.12,3.66,7.31,6.9,3.38,4.64,4.79,5.21,2.06,6.65,1.87,3.99,2.75,5.65,2.23,3.62,4.72,4.04,7.44,5.58,4.04,3.71,6.13,4.6,6.93,4.83,6.7,3.46,3.45,5.05,4.54,11.81,1.72,6.32,6.12,6.19,3.84,4.11,3.63,5.75,4.61,6.53,5.65,2.12,1.68,6.05,7.47,7.11,3.86,4.93,4.13,10.92,4.17,5.18,5.21,6.71,2.63,4.77,4.94,6.82,5.47,5.77,5.03,7.32
February,,,,,,,,,,3.71,3.86,5.23,3.41,4.11,3.57,4.43,1.01,1.42,1.51,2.48,0.81,0.82,3.42,6.5,6.27,0.44,3.01,4.45,3.37,1.93,4.03,2.22,1.79,4.51,5.02,2.82,4.45,2.29,4.21,2.66,4.86,5.39,2.26,1.96,4.17,7.61,5.61,0.91,5.84,1.16,3.22,0.34,6.01,8.13,1.1,6.96,4.53,2.41,5.27,1,0.38,5.6,0.25,3.96,0.46,7.51,3.42,6.36,2.09,5.21,2.58,7.34,1.31,3.86,2.97,6.06,6.01,1.04,3.77,3.83,7.14,4.38,1.78,2.77,5.36,4,2.43,5.52,7.61,0.86,7.71
March,,,,,,,,,,2.4,2.97,4.8,4.03,1.44,3.91,3.94,3.51,1.97,3.77,3.67,4.52,2.62,1.29,1.28,4.22,5.16,6.86,5.64,2.57,2.71,0.44,4.09,3.53,6.34,3.15,3.96,3.89,4.13,3.79,3.27,1.18,2.16,7.06,6.07,6.1,2.47,2.36,2.96,1.78,5.04,4.09,3.63,4.13,2.2,1.64,2.06,2.35,4.64,3.58,1.53,2.95,0.48,3.26,2.91,2.74,1.43,3.63,2.36,2.29,2.92,3.54,4.64,3.64,1.16,0.92,1.76,1.17,6.47,2.78,2.39,3.21,5.84,2.78,2.49,3.96,3.47,2.63,3.87,1.7,3.2,2.12
April,,,,,,,,,,2.04,1.71,1.57,6.13,2.48,1.42,2.26,2.72,2.78,2.11,2.56,1.49,2.72,2.16,0.63,1.96,3.11,2.61,4.08,2.68,4.76,2.96,3.17,3.37,2.43,3.38,4,2.28,2.35,2.6,4.05,4.65,3.19,0.92,6.5,2.14,3.1,4.53,2.97,1.1,3.21,5.74,2.16,3.92,4.37,2.13,3.41,2.4,3.74,1.29,1.15,2.97,4.21,3.7,1.97,2.77,3.89,1.39,4.5,1.09,3.09,3.92,2.5,2.85,3.72,3.12,2.32,1.42,4.72,2.63,4.88,3.6,3.18,4.37,5.41,1.28,4.35,3.46,0.56,1.22,5.06,3.74
May,,,,,,,,,,2.27,2.8,4.32,2.59,0.95,2.1,1.89,4.75,2.41,1.27,3.14,3.98,3.88,4.51,2.53,3.13,0.91,0.83,2.85,3.6,3.69,2.69,1.32,3.34,3.72,3.05,0.69,4.55,4.38,3.22,2.85,4.2,2.55,2.34,3.97,2.46,1.93,3.66,1.56,3.12,1.95,5.6,3.09,2.41,5,6.23,4.57,3.45,1.54,1.73,3.27,1.93,2.66,4.85,1.82,4.28,2.18,0.88,2.05,4.52,1.95,0.95,3.4,4.25,2.53,3.39,3.03,2.12,3.27,2.47,3.8,2.92,2.06,3.3,3.41,3.29,5.44,2.51,2.53,5.99,1.2,2.8
June,,,,,,,,,,6.27,4.12,2.98,6.5,4.33,1.08,3.45,2.12,1.19,2.25,1.14,4.92,2.5,5.62,2.83,3.27,2.59,4.6,4.57,3.97,1.71,3.2,2.4,1.73,1.54,1.64,3.76,1.3,8.5,2.17,3.38,3.63,4.67,6.4,3.3,2.53,2.15,3.54,3.92,2,1.53,3.31,0.49,4.39,1.77,3.01,0.15,3.2,4.71,6.48,1.91,2.84,5.6,1.13,2.19,2.72,4.2,4.18,2.51,5.41,4.02,1.22,0.52,1.45,3.54,4.26,5.14,3.81,3.85,7.99,1.5,2.82,1.74,4.34,4.22,4.25,4.75,2.9,2.32,5.64,5.18,2.32
July,,,,,,,,,,6.03,5.31,5.61,7.55,4.61,4.51,2.13,4.55,1.94,7.37,3.39,4.19,5.04,3.21,4.34,5.23,7.62,3.1,1.82,0.83,1.83,2.09,3.07,4.12,4.48,1.95,2.96,2.3,3.04,4.67,6.99,5.07,0.45,5.35,1.78,5.65,4.63,3.56,2.11,3.55,2.29,6.42,2.7,6.3,6,5.42,2.21,2.7,4.32,2.53,3.8,7.52,5.07,4.58,3.3,2.37,2.3,5.19,2.18,5.39,7.91,7.01,3.42,7.65,3.66,5.35,2.74,4.65,3.77,3.21,2.71,5.17,4.19,3.53,5.63,7.87,1.35,7.47,10.09,4.49,5.73,11.55
August,,,,,,,,,,6.87,2.7,7.12,5.47,3.11,2.16,2.27,2.37,2.46,4.74,6.74,8.09,13.45,6.32,3.39,6.61,4.92,3.63,7.05,5.68,1.48,6.21,2.56,2.8,5.43,4.89,5.3,4.23,5.06,4.37,4.08,6.95,3.94,7.77,2.55,3.81,5.5,3.3,7.86,3.17,4.25,2.53,7.43,7.7,8.17,7.7,3.74,4.17,6.49,7.43,5.47,9.17,7.73,1.52,3.57,4.71,2.01,2.98,2.9,3.42,3.39,3.64,7.17,6.73,7.11,4.4,3.61,9.39,0.27,5.33,3.31,8.32,6.09,6.41,6.49,8.75,1.44,17.39,8.97,6.44,0.9,7.62
September,,,,,,,,,,3.09,4.92,2.59,2.51,7.19,3.49,6.42,4.39,6.01,1.37,4.93,5.76,5.58,5.24,6.35,0.46,1.86,10.32,4.7,1.52,9.21,2.32,1.12,2.45,6.09,1.58,3.29,1.63,1.32,4.51,2.97,0.71,4.3,2.38,1.95,6.03,1.06,4.48,2.71,11.36,2.82,2.85,2.69,5.66,6.66,5.74,4.36,4.53,8.36,1.29,1.9,3.58,4.31,6.71,1.41,4.18,8.25,4.91,2.05,2.71,1.74,5.45,1.75,4.42,5.66,6.33,3.84,5.96,4.49,3.52,2.42,9.21,3.98,5.98,5.85,6.98,5.82,3.48,9.98,6.67,0.45,3.8
October,,,,,,,,,,2.9,3.39,2.76,4.19,5.34,3.3,6.67,6.49,2.68,2.8,5.29,6.45,8.71,5.99,5.56,5.09,5.56,7.26,3.12,4.33,3.79,6.66,4.07,4.92,10.34,3.1,4.55,7.99,4.5,2.33,7.5,4.04,4.09,5.94,2.41,2.77,1.82,10.25,10.57,4.2,2.54,1.38,3.23,1.39,7.11,5.27,6,3.91,4.63,6.08,7.39,6.43,3.1,8.14,5,7.84,11.21,5.96,2.55,11.66,2.94,5.48,5.85,9.65,4.81,5.33,7.23,0.9,1.3,3.76,5.96,4.47,1.4,6.45,2.4,10.16,4.48,3.39,9.05,6.96,6.94,6.25
November,,,,,,,,,,1.24,5.38,6.3,7.28,4.68,2.06,4.04,4.33,2.38,6.73,3.03,14.15,5.57,3.29,4.55,4.75,4.63,2.38,5.38,3.41,2.88,5.46,7.42,3.09,3.21,4.09,6.22,4.87,3.2,3.76,1.91,6.32,4.89,4.12,6.34,8.16,2.77,4.16,5.75,2.92,3.31,2.19,4.17,4.76,7.19,2.67,3.28,7.62,4.84,7.43,9.27,6.94,8.71,3.53,2.85,2.66,6.04,7.51,2.28,8.19,9.07,8.4,3.61,1.55,4.72,7.51,0.93,7.77,6.66,3.32,8.01,7.46,10.04,3.35,6.66,9.84,3.68,2.45,3,2.35,8.79,10.83
December,,,,,,,,,,2.84,6.48,5.7,4.82,4.43,6.54,2.77,6.57,3.06,3.57,5.57,0.65,9.91,3.42,5.31,5.04,5.72,8.11,7.65,5.38,3.13,6.36,4.92,4.94,4.17,3.88,1.11,4.83,5.29,3.14,6.81,5.36,8.8,4.9,4.18,8.34,9.71,3.36,3.27,8.25,7.57,2.98,10.88,7.75,5.22,6.37,3.31,1.92,1.11,2.97,9.6,4.74,2.45,2.55,0.73,7.63,4.53,6.76,3.55,6,3.85,5.92,3.71,5.33,2.71,4.95,3.52,5.53,4.4,5.4,7.57,3.87,12.27,5.24,2.08,9.35,8.47,8.15,7.5,5.91,13.19,6.68
Total,,,,,,,,,,40.53,44.09,49.93,58.59,49.39,39.6,42.86,49.07,30.96,39.57,44.35,63.23,66.01,48.93,45.41,51.18,46.91,55.1,53.43,41,44.43,49.32,39.74,40.72,57.05,40.94,40.72,48.97,45.93,42.76,49.22,52.62,46.66,53.06,45.73,56.2,50.19,54.39,48.63,51,41.8,44.91,47.74,59.25,68.52,50.74,43.5,45.83,51.33,57.89,48.01,55.77,56.04,46.41,33.55,46.47,57.18,52.56,37.9,59.3,51.74,50.23,45.59,54.88,50.95,55.64,44.04,53.66,44.37,55.1,50.55,63.37,60.38,54.24,50.04,75.86,52.19,63.08,68.86,60.75,56.53,72.74
