STOKE-FLEMING-WINDWARD-(THE-GLEN),,,,,,,,,,,,,,,,,,,,,
Grid ref,SX863483,Long,-3.59803,Lat,50.32398,Elevation,300,ft,,,,,,,,,,,,,
Station no,1671,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,8.96,4.06,,,,,,,,,
February,,,,,,,,,,,1.99,2.9,,,,,,,,,
March,,,,,,,,,,,2.6,,,,,,,,,,
April,,,,,,,,,,,2.82,,,,,,,,,,
May,,,,,,,,,,,2.7,,,,,,,,,,
June,,,,,,,,,,,0.41,,,,,,,,,,
July,,,,,,,,,,,2.15,,,,,,,,,,
August,,,,,,,,,,,4.27,,,,,,,,,,
September,,,,,,,,,,,3.94,,,,,,,,,,
October,,,,,,,,,,,4.53,,,,,,,,,,
November,,,,,,,,,,,8.02,,,,,,,,,,
December,,,,,,,,,,,4.7,,,,,,,,,,
Total,,,,,,,,,,,47.09,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1931 Mar 21st Gauge moved 0.25 mile N to Windward,,,,,,,,,,,,,,,,,,,,,
