GLEN MEANN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN522125,Long,-4.389003,Lat,56.281871,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.45,12.6,3,6.85,8.05,13.5,13.75,8.4,10.35,7.15,8.5,14.95,11,21.55,2.8,14.4,6.65,14.7,9.95,14.45,4.1,7.1,13.8,15.7,6.35,1.75,1.65,7.8,10.15,10.9,2.55,11.85,9.7,10.45,9.35,6.5,8.05,4.3,4.35,7.3,5.15,4.9,12.5,10,4.2,5
February,,,,,,12.05,7.55,1.25,12.7,1.5,11.8,2.7,8.1,10.75,2.05,7.1,10.6,5,9.35,3.5,1,6.9,0.1,6.8,1.75,10.3,5.1,6.8,8,11.3,3.5,7.85,2.7,9.3,3.45,12.9,6.3,0.75,9.4,10.5,9.65,4.3,2.5,3.8,6.7,2.9,3.44,6.55,3.4,4.3,9
March,,,,,,4.85,2.3,3.4,3,5.3,8.7,12.7,3.7,4.9,0.9,2.6,7.1,7.45,12.05,2.3,4.45,1.6,3.75,4.95,4.5,4,5,2.7,9,6.6,6.5,2.2,4.9,5.75,1.1,7.55,4.5,5.4,8.35,3.7,5.45,4.4,8,3.05,5.35,2.6,4,8.55,3,6.5,3.5
April,,,,,,5.7,6.05,1.95,1.3,4.75,3.7,1.9,4.35,5.6,4.9,8.2,4.5,6.85,4.85,2.1,2.35,4.4,7.4,3.8,6.3,5.3,2.2,4,1.6,3.6,4.2,3.35,4.9,7.65,4.3,3.2,2.25,13.35,5.15,9.5,6.35,5.65,4.35,4.8,3.15,4.38,3.5,2.85,3.8,6,7.8
May,,,,,,1.7,6.45,4.9,3.45,1.85,9.6,6.45,7.3,3,7.5,10.9,5,3.4,2,6.3,4.1,8.25,4.1,2.8,4.55,0.5,2.1,3.4,5.8,1.5,1.2,3.1,5.7,4.65,15.7,6.25,1.8,5.7,3.05,3.65,2.5,1.7,2.6,4.2,5.2,4.9,5,3.5,5.85,1.7,5.4
June,,,,,,2.15,3.4,4.3,3.3,4.2,2.75,0.7,3.3,2,4.15,1.35,5.55,6.85,7.55,4.1,3.8,8.65,2.55,2.35,3.65,7.4,3.1,4.4,9.4,3.3,1.9,1.2,2.8,7.15,5.3,8.45,6.1,5.2,5.75,2.3,2.5,3.8,4.4,2.9,4.85,4.55,5.2,2.25,3.5,4.6,3.1
July,,,,,,5.85,5.7,2.15,4.85,2.35,5.8,5.7,5.5,6.7,8.25,2.45,3.5,6.1,5.45,5.1,3.55,6,6.05,4.3,4.2,2.6,7.9,6.5,5.65,8.2,4.9,4.3,5.6,4,3.45,5.1,4.45,4.85,6.1,2.65,8.75,4.2,4.1,7,4,0.55,6.7,5.1,5.2,7.9,5.7
August,,,,,5.75,4,4.3,9.6,5.1,4.7,6.6,8.55,4.55,9.35,6.4,6.2,7,8.4,8.3,9,8.8,2.35,3.7,5.3,7.05,4.5,4.8,5.4,4.8,2.1,3.95,5.6,9.9,10.3,5.15,3,6.45,0,10.3,7.55,10.3,8.1,5.15,4.7,6.4,1.45,7.25,6.85,7.3,4.1,6.1
September,,,,,4.3,2.75,1.7,6.9,9,6.6,4.05,3.95,4.5,12.1,9.4,5.1,6,8.2,6.05,3.1,6.4,2.9,4.3,1.55,10.9,10.2,4.8,5.8,7,4.45,5.1,3.25,11.05,6.25,6.05,10.25,10.6,8.45,10.85,3.2,13.4,6.2,3.8,9.9,9.3,6.8,8.1,5.2,7.15,2.2,5
October,,,,,2.65,5.55,12.05,11.7,11.35,2,4.8,7.4,4,12,5.5,9,8.05,10.65,13,11.25,12.6,8.1,10.45,5.45,13.1,14.9,10,4,15.3,6,11.2,7.3,10.5,17.3,9.65,9.35,1.15,4.65,14.45,12.4,9,2.45,8.35,7.3,13.1,7.05,6.05,7.7,6.2,8.9,6
November,,,,,10.95,3.05,9.5,13.95,9.55,7.2,10.7,5.6,6.2,6.15,7.1,0.75,12.45,9.15,10.45,12.1,9.4,14.65,7.7,4.5,2.4,7.5,4.6,1.2,16,12.55,13.35,9.65,2.3,5.1,11.05,0.7,13.1,12,6.25,8.5,5.2,12.35,3.4,13.2,14.55,4.05,3.3,2.85,2.5,11.2,9.8
December,,,,,12.1,9.9,8.7,4.05,8.1,13.5,7,14.55,8.4,5.85,17.25,6.1,4.9,3.2,8.9,18.15,9,9.45,15.35,2.4,17,5,12.4,3,7.85,4.55,10.15,5.9,15.2,4.95,11.3,9.3,9.25,3.8,13.1,15.85,3.5,11.6,7.35,8.8,15.7,14.25,11.48,11.06,11.5,15.4,10.5
Total,,,,,,64,80.3,67.15,78.55,62,89,83.95,68.3,88.75,80.55,68.25,89.6,86.25,109.5,79.8,79.85,79.9,80.15,54.15,89.85,76.3,69.1,61,106.1,70.5,67.7,55.35,83.35,92.55,87.4,78.6,77.8,73.85,103.2,89.15,83.1,72.8,58.3,74,95.6,58.63,68.92,74.96,69.4,77,76.9
