ARDNAMURCHAN,,,,,,,,,,,,
Grid ref,NM416675,Long,-6.225831,Lat,56.727376,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.54,3.63,4.28,6.08,4.75,2.42,4.48,4.65,5.61,6.43,,
February,2.39,2.67,1.19,7.16,4.02,3.59,4.14,4.49,4.82,3.13,,
March,0.54,2.09,4.44,5.52,1.56,5.53,1.86,4.36,4.81,1.85,,
April,3.79,3.25,3.12,2.16,2.17,1.70,2.55,2.82,0.70,3.62,,
May,2.73,1.10,2.87,2.38,1.37,2.66,3.25,2.76,1.93,3.30,,
June,3.10,3.12,1.44,1.44,2.15,1.25,1.83,4.21,4.88,1.38,,
July,3.64,1.34,3.75,4.09,0.98,4.55,4.07,2.55,4.93,5.55,,
August,5.33,5.08,3.23,5.57,5.16,3.60,3.67,6.68,5.15,3.90,,
September,4.87,4.75,6.85,3.25,2.06,5.17,3.55,2.10,6.63,3.15,,
October,6.43,6.56,4.34,8.16,5.31,4.76,5.66,3.88,1.28,7.18,,
November,4.45,3.74,4.87,3.76,4.00,2.88,4.41,5.76,4.30,3.43,,
December,8.21,5.19,4.83,3.44,2.74,3.10,5.57,6.00,5.95,5.85,,
Total,53.02,42.52,45.21,53.01,36.27,41.21,45.04,50.26,50.99,48.77,,
Calc annual,53.02,42.52,45.21,53.01,36.27,41.21,45.04,50.26,50.99,48.77,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
