"ARDNAMURCHAN LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NM416675,Long,-6.225831,Lat,56.727376,,,,,,,
Station no,5390,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.77,4.89,3.43,6.01,3.56,3.85,7.68,5.33,1.62,2.21,,
February,3.87,2.28,3.78,2.97,3.65,2.31,3.56,2.45,1.25,3.46,,
March,2.11,4.41,1.89,3.89,0.59,2.08,5.07,0.70,3.97,1.30,,
April,2.70,2.71,3.64,1.47,3.42,2.48,2.10,2.54,3.07,2.76,,
May,0.30,1.47,2.96,3.45,2.12,3.55,1.94,2.77,0.68,1.73,,
June,1.50,3.46,1.29,4.03,3.44,3.03,2.79,2.30,3.28,2.83,,
July,6.14,3.60,6.64,3.26,0.72,4.07,4.10,2.12,5.78,2.21,,
August,3.74,3.19,5.11,4.68,1.41,5.55,4.19,4.07,1.90,4.11,,
September,4.94,3.90,4.93,5.52,6.40,4.49,3.49,3.46,2.75,2.91,,
October,4.07,5.65,5.34,7.51,6.83,4.85,6.41,5.44,5.30,0.96,,
November,6.38,2.53,9.13,7.31,2.12,4.48,2.27,2.23,5.58,6.75,,
December,11.16,6.48,5.70,6.72,5.74,6.98,5.15,3.11,6.73,6.28,,
Total,54.68,44.57,53.84,56.82,40.00,47.72,48.75,36.52,41.91,37.51,,
Calc annual,54.68,44.57,53.84,56.82,40.00,47.72,48.75,36.52,41.91,37.51,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
