Rainfall at,ARDNAMURCHAN
,
Station no,5390,
,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,3.32,3.10,6.42,6.63,3.18,4.76,8.23,3.50,4.60,4.76,
February,5.10,3.16,1.44,4.58,2.76,2.98,3.67,3.49,7.18,3.78,
March,4.22,7.36,2.43,2.41,3.97,3.03,2.78,0.71,5.57,1.56,
April,1.86,0.39,3.41,3.40,3.77,1.80,1.20,5.80,2.16,2.42,
May,2.68,2.74,3.76,2.86,2.16,3.13,1.37,1.86,3.92,0.11,
June,2.02,2.36,3.84,3.24,3.91,1.46,1.39,2.21,2.50,0.60,
July,1.47,3.89,5.32,0.85,2.38,3.73,4.25,2.75,1.15,1.35,
August,5.44,8.82,3.69,6.17,3.60,4.24,3.99,3.34,4.17,1.08,
September,3.39,7.15,2.21,6.60,8.44,2.32,6.61,3.10,1.01,4.95,
October,6.56,5.37,9.86,3.83,3.11,3.13,4.18,6.40,4.43,5.60,
November,1.85,6.35,5.08,5.96,4.65,5.56,5.77,1.10,2.66,5.19,
December,1.87,3.23,5.58,7.40,4.24,4.64,7.56,3.19,4.66,4.46,
Total,39.78,53.92,53.04,53.93,46.17,40.78,51.00,37.45,44.01,35.86,
Calc annual,39.78,53.92,53.04,53.93,46.17,40.78,51.00,37.45,44.01,35.86,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
