"ARDNAMURCHAN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5390,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,
January,6.92,7.91,5.23,3.96,3.44,4.53,6.58,4.87,5.32,2.12,
February,6.75,1.50,4.43,2.24,1.81,3.37,3.49,1.68,3.91,1.22,
March,5.89,7.41,1.52,1.14,0.73,1.46,2.89,1.81,5.53,1.03,
April,1.55,2.42,2.74,2.29,2.86,4.35,1.62,5.21,1.32,2.14,
May,3.67,3.32,5.65,1.89,2.52,4.79,2.98,0.97,0.43,3.36,
June,2.07,0.54,2.62,2.83,2.97,1.16,1.16,2.84,1.58,2.94,
July,4.28,1.42,3.21,3.96,3.60,1.49,3.35,1.36,2.58,3.23,
August,2.90,2.84,2.61,4.14,3.36,2.46,3.06,3.08,2.90,4.59,
September,4.12,2.59,1.65,4.79,5.24,3.55,2.92,3.37,2.48,2.11,
October,2.67,4.05,1.81,7.53,3.75,2.33,5.12,6.23,5.32,4.49,
November,7.63,1.88,3.47,3.76,4.90,0.76,4.43,5.41,4.61,2.81,
December,4.15,5.81,5.28,3.99,6.70,2.75,2.46,0.60,5.69,5.94,
Total,52.60,41.69,40.22,42.52,41.88,33.00,40.06,37.43,41.67,35.98,
Calc annual,52.60,41.69,40.22,42.52,41.88,33.00,40.06,37.43,41.67,35.98,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
