WARLINGHAM-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ355582,Long,-0.057477936,Lat,51.306796,Elevation,600,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.64,2.06,4.22,2.04,3.31,3.02,4.11,2.6,4.3,,,2.23,,,,,,,,,
February,,,,,,,,,,,0.61,0.4,2.95,4.62,0.83,4.53,2.83,4.91,1.76,,0.88,2.23,,,,,,,,,
March,,,,,,,,,,,1.73,1.92,2.62,2.18,1.68,0.82,0.51,3.7,2.37,,2,0.37,,,,,,,,,
April,,,,,,,,,,,3.8,1.42,3.96,2.51,4.47,2.97,5.17,2.37,2.1,,1.85,4.75,,,,,,,,,
May,,,,,,,,,,,0.84,1.88,1.16,3.08,4.87,2.14,1.48,1.14,2.13,,3.07,3.03,,,,,,,,,
June,,,,,,,,,,,2.04,0.14,1.72,0.55,2.7,0.18,4.58,3.22,3.27,,0.8,1.55,,,,,,,,,
July,,,,,,,,,,,4.82,0.16,3.55,2.97,4.59,3.64,2.14,2.58,1.77,,2.97,3.23,2.01,,,,,,,,
August,,,,,,,,,,,1.74,2.18,2.6,2.39,3.9,2.24,3.35,4.5,3.21,,4.2,4.64,,,,,,,,,
September,,,,,,,,,,,3.54,1.21,2.31,2.12,4.98,3.84,1.24,5.78,0.88,,4.67,1.14,2.07,,,,,,,,
October,,,,,,,,,,0.98,1.63,0.93,1.29,6.8,3.86,3.97,2.39,1.83,6.1,,1.59,0.72,,,,,,,,,
November,,,,,,,,,,1.81,1.09,1.73,2.45,2.33,4.45,3.26,6.97,3.16,3.13,,5.81,3.21,,,,,,,,,
December,,,,,,,,,,4.83,1.82,1.95,4.87,3.4,4.71,3.63,0.7,5.13,4.22,,2.39,0.7,,,,,,,,,
Total,,,,,,,,,,,27.3,15.98,33.7,34.99,44.35,34.24,35.47,40.92,35.24,,,27.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is a school on Warlingham that is a reasonable match to relationship to church. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
