PILLING VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD403485,Long,-2.9106902,Lat,53.929169,Elevation,19,ft,,,,,,,,,,,,
Station no,3040/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,4.2,3.45,2.79,0.93,4.57,5.49,3.93,2.95,3.58,2.99,,,
February,,,,,,,,1.1,2.2,1.63,3.4,1.32,2.04,1.31,3.57,3.71,,,,
March,,,,,,,,1.29,1.88,2.89,2.44,2.01,0.65,0.61,1.85,0.75,5.33,,,
April,,,,,,,,0.32,2.17,2.14,0.96,1.22,2.39,2.42,1.68,1.33,2.82,,,
May,,,,,,,,3.09,0.97,1.85,3,2.7,3.31,2.74,3.35,0.73,3.75,,,
June,,,,,,,,4.42,3.07,0.58,0.45,1.1,2.25,2.4,4.14,3.07,3.05,,,
July,,,,,,,,3.72,4.94,3.62,1.46,3.69,3.71,2.96,2.54,4.53,4.01,,,
August,,,,,,,,3.2,2.42,1.5,2.57,4.14,6.52,3.76,0.9,4.83,0,,,
September,,,,,,,,1.52,1.16,3.47,1.29,2.64,3.91,4.68,3.16,5.04,3.33,,,
October,,,,,,,,8.37,1.43,4.13,4.66,4.62,4.46,4.38,4.97,0.45,0.63,,,
November,,,,,,,,5.24,4.83,4.29,2.08,0.99,2.46,5.48,0.16,5.18,3.59,,,
December,,,,,,,,3.98,2.21,3.87,1.65,3.78,1.78,2.84,1.88,4.46,,,,
Total,,,,,,,,40.45,30.73,32.76,24.89,32.78,38.97,37.51,31.15,37.66,,,,
,,,,,,,,,,,,,,,,,,,,
"1947 Feb estimated, removed",,,,,,,,,,,,,,,,,,,,
