"MANCHESTER GODLEE OBSERVATORY - 11"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ844977,Long,-2.236506,Lat,53.475794,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,4.24,1.39,2.32,1.68,3.76,1.4,3.07,3.17,2.02,4.71,2.62,,,,,,,,,2.07,3.18,3.91,7.78,1.65,
February,,,,,,,3.3,1.64,2.72,1.26,2.88,2.8,1.06,1.17,1.82,2.39,3.95,,,,,,,,,5.45,3.15,1.27,3.82,1.08,
March,,,,,,,2.74,2.88,2.34,2.95,0.69,1.35,4.47,3.13,3.71,1.35,1.77,,,,,,,,,1.45,1.56,3.64,2.07,0.92,
April,,,,,,,1.71,1.03,2.38,3,2.48,2.55,0.71,3.99,1.18,1.34,2.58,,,,,,,,,2.11,1.49,2.21,0.8,1.17,
May,,,,,,,3.12,3.69,2.23,1.56,3.55,1.32,2.82,2.79,2,1.43,2.4,,,,,,,,,5.27,3.7,1.49,1.25,2.6,
June,,,,,,2.33,1.52,5.68,1.8,2.04,3.62,2.18,4.23,1.73,1.98,2.77,3.11,,,,,,,,,0.07,2.11,4.49,5.42,0.95,
July,,,,,,2.49,1.59,3.37,4.72,4.94,4.1,0.79,3.66,1.2,3.69,5.05,1.69,,,,,,,,,2.07,2.5,1.94,1.73,2.82,
August,,,,,,4.63,2.9,3.57,2.98,3.22,5.05,2.43,6.25,2.42,3.47,3.18,1.73,,,,,,,,,3.7,3.81,5.2,5.06,3.92,
September,,,,,,2.48,1.59,0.93,3.17,2.22,0.15,3.63,2.08,1.57,2.87,1,2.43,,,,,,,,,4.24,3.38,5.43,0.84,2.08,
October,,,,,,3.12,5.29,3.14,1.41,5.21,2.57,2.48,3.61,1.51,1.73,1.37,4.09,,,,,,,,,4.37,3.25,2.39,3.73,5.19,
November,,,,,,3.09,2.57,2.24,2.83,1.07,4.68,2.73,2.62,3.4,3.56,1.6,2.05,,,,,,,,,2.71,4.89,3.27,4.63,6.42,
December,,,,,,0.51,4.03,2.65,2.49,6.75,2.46,5.15,3.62,2.3,4.75,5.33,2.54,,,,,,,,,2.22,1.37,1.02,2.15,5.74,
Total,,,,,,,34.6,32.21,31.39,35.9,35.99,28.81,38.2,28.38,32.78,31.52,30.96,,,,,,,,,35.73,34.39,36.26,39.28,34.54,
