"MANCHESTER GODLEE OBSERVATORY",,,,,,,,,,,,
Grid ref,SJ844977,Long,-2.236506,Lat,53.475794,,,,,,,
Station no,2832,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.39,1.38,2.34,1.68,,
February,,,,,,,3.25,1.62,2.79,1.26,,
March,,,,,,,2.73,2.89,2.34,2.94,,
April,,,,,,2.72,1.73,1.06,2.37,2.90,,
May,,,,,,0.75,3.32,3.62,2.20,1.55,,
June,,,,,,2.43,1.33,5.63,1.76,2.05,,
July,,,,,,2.21,1.58,3.39,4.71,4.96,,
August,,,,,,4.59,2.92,3.63,2.99,3.25,,
September,,,,,,2.47,1.57,0.90,3.21,2.25,,
October,,,,,,2.97,5.28,3.12,1.41,5.16,,
November,,,,,,3.10,2.57,2.26,2.82,1.12,,
December,,,,,,0.56,4.04,2.67,2.50,6.43,,
Total,,,,,,,34.71,32.17,31.44,35.55,,
Calc annual,0.00,0.00,0.00,0.00,0.00,21.80,34.71,32.17,31.44,35.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
