"DRUMCHAPEL, WASDALE",,,,,,,,,,
Grid ref,NS 52279 70463,Long,-4.364473,Lat,55.90454,Elevation,68,ft,,
Station no,5334,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.24,3.8,2.57,2.11,3.88,1.78,4.41,
February,,,3.4,2.31,3.37,4.21,3.45,0.91,4.25,
March,,,4.47,3.29,4.64,1.58,1.72,1.97,1.48,
April,,,1.14,2.93,1.65,2.08,2.92,1.08,0.46,
May,,,1.48,3.16,1.72,1.52,4.18,2.95,2.13,
June,,,4.15,1.8,0.48,2.11,1.95,2.82,,
July,,,2.03,1.17,2.81,3.79,2.97,3.42,,
August,,,4,1.15,4.17,1.97,3.5,2.74,,
September,,,2.57,2.38,1.42,1.23,0.7,1.99,,
October,,,3.81,1.81,1.53,2.92,6.14,4.64,,
November,,,3.37,5,3.98,2.26,3.19,4.96,,
December,,5.76,4.88,2.66,5.07,4.08,4.89,2.51,,
Total,,,38.54,31.46,33.41,29.86,39.49,31.77,,
,,,,,,,,,,
G move 1918,,,,,,,,,,
Station no,5334,,,,,,,,,
Midas,,,,,,,,,,
Hyd stn,,,,,,,,,,
