"EDINBURGH W.W. (FRUID FARM)",,,,,,,,,,,,
Grid ref,NT108182,Long,-3.411808,Lat,55.449506,,,,,,,
Station no,5070/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.20,4.20,2.00,3.59,5.00,2.70,8.90,7.50,2.90,5.20,,
February,3.80,1.00,1.50,4.32,2.50,1.50,5.10,4.30,1.60,7.10,,
March,3.70,3.30,0.50,3.59,2.70,2.80,4.40,2.10,4.90,2.30,,
April,5.80,3.30,5.20,1.20,2.20,0.80,2.40,2.20,5.70,7.10,,
May,2.00,2.70,3.85,5.60,4.10,2.60,2.40,4.40,1.90,3.00,,
June,2.30,2.90,2.50,4.10,2.00,3.70,1.90,3.30,3.40,2.90,,
July,3.10,2.70,7.50,4.60,2.30,4.80,4.40,5.10,5.40,3.50,,
August,6.90,4.00,3.20,5.70,2.10,8.30,5.40,5.60,1.50,3.76,,
September,5.30,2.50,5.70,8.10,3.60,5.50,2.90,5.20,1.30,3.61,,
October,0.60,6.00,4.60,16.50,3.90,4.00,5.30,4.10,6.70,4.07,,
November,12.60,3.80,7.50,12.60,3.30,2.20,2.90,1.40,13.50,11.10,,
December,8.80,4.80,4.40,6.30,6.40,7.90,6.90,5.80,10.10,5.95,,
Total,60.10,41.20,48.45,76.20,40.10,46.80,52.90,51.00,58.90,59.59,,
Calc annual,60.10,41.20,48.45,76.20,40.10,46.80,52.90,51.00,58.90,59.59,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
