DUNSTER-THE-PRIORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SS990437,Long,-3.44625,Lat,51.18358,Elevation,150,ft,,,,,,,,,,,,
Station no,2098/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,4.11,4.63,1.62,6.3,2.06,3.32,0.77,1,,,,,,,,
February,,,,,3.14,1.86,3.71,2.34,2.01,4.43,5.05,2.89,,,,,,,,
March,,,,,1.58,1.96,5.48,2.5,1.79,0.79,2.72,1.98,,,,,,,,
April,,,,,1.9,2.21,2.56,3.48,2.96,2.56,1.77,1.46,,,,,,,,
May,,,,,0.74,2.65,0.13,2.83,5.04,2.74,1.2,1.2,,,,,,,,
June,,,,,0.93,2.51,1.03,1.35,1.89,4.51,2.47,2.5,,,,,,,,
July,,,,,0.96,2.6,0.66,4.07,2.15,1.94,3.7,1.64,,,,,,,,
August,,,,,2.65,3.58,3.35,4.2,3.72,4.35,0.68,3.25,,,,,,,,
September,,,,,5,2.67,8.46,2.49,2.66,2.49,2.34,2.02,,,,,,,,
October,,,,,5.18,8.8,3.14,3.21,6.51,1.54,8.45,3.58,,,,,,,,
November,,,,,2.66,6.73,4.51,7,3.47,0.64,3.53,4.74,,,,,,,,
December,,,,,5.7,1.21,7.23,2.57,2.51,1.45,5.11,3.79,,,,,,,,
Total,,,,,34.55,41.41,41.88,42.34,36.77,30.76,37.79,30.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Second sheet says Rectory Observer living here at brothers house according 1881 census,,,,,,,,,,,,,,,,,,,,
Assume gauge did not move but both close together,,,,,,,,,,,,,,,,,,,,
1874 Rain entered to day of measurement,,,,,,,,,,,,,,,,,,,,
1882 Observer ill,,,,,,,,,,,,,,,,,,,,
