PAILTON HOUSE LUTTERWORTH LEICESTERSHIRE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP462821,Long,-1.3204,Lat,52.4352,Elevation,340,ft,,,,,,,,,,,,
Station no,RR1425,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.72,1.64,2.93,2.17,2.98,1.25,,,,,,,,,
February,,,,,,2.14,2.83,1.44,1.69,2.15,2.02,,,,,,,,,
March,,,,,,1.05,1.06,3.05,2.21,1.72,1.15,,,,,,,,,
April,,,,,,0.61,1.3,2.48,1.38,1.38,0.56,,,,,,,,,
May,,,,,,1.36,1.95,2.34,0.65,3.9,0.67,,,,,,,,,
June,,,,,,2.64,1.69,2.16,0.23,1.93,0.62,,,,,,,,,
July,,,,,,3.58,2.35,2.29,0.19,0.88,1.79,,,,,,,,,
August,,,,,,4.79,3.33,2.18,4.78,0.97,2.05,,,,,,,,,
September,,,,,,0.27,6.7,2.73,2,3.06,2.1,,,,,,,,,
October,,,,,,4.86,1.73,2.94,2.98,0.99,4.25,,,,,,,,,
November,,,,,,2.82,1.95,0.58,1.56,2.11,1.83,,,,,,,,,
December,,,,,,1.13,1.97,1.7,5.05,3.68,2.25,,,,,,,,,
Total,,,,,,27.97,28.5,26.82,24.89,25.75,20.54,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_03_pt3-page-087.jpg - name includes Leicestershire but WARWICK stamped on it too.,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt2-page-066.jpg,,,,,,,,,,,,,,,,,,,,
