APPLECROSS (BEALACH),,,,,,,,,,
Grid ref,NG757441,Long,-5.738325,Lat,57.43168,Elevation,1300,ft,,
Station no,5791/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.48,10.6,,,
February,,,,,3.49,4,4.5,,,
March,,,,,1.25,1.05,7.6,,,
April,,,,,6,4,3.4,3.4,,
May,,,,,2.49,4.25,2,5.2,,
June,,,,,5.75,4.5,2.75,,,
July,,,,,1,6.2,6.2,,,
August,,,,,1.6,7.6,6.02,,,
September,,,,,,3.7,5.75,4.1,,
October,,,,,,7.5,7.01,8.4,,
November,,,,,,8.2,4.8,,,
December,,,,,4.48,8.5,9.6,,,
Total,,,,,,65.98,70.23,,78.95,65.4
,,,,,,,,,,
1955  100s Deleted,,,,,,,,,,
BR 1956 P,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 NP Low No of Ests deleted,,,,,,,,,,
BR 1959 P  Total only no of months aggregated,,,,,,,,,,
BR 1960 P   Total only no of months aggregated,,,,,,,,,,
