APPLECROSS (BEALACH),,,,,,,,,,,,
Grid ref,NG757441,Long,-5.738325,Lat,57.431680,,,,,,,
Station no,5791/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,100.00,6.48,10.60,,7.90,5.10,,
February,,,,,3.49,4.00,4.50,,,,,
March,,,,,1.25,1.05,7.60,13.40,,,,
April,,,,,6.00,4.00,3.40,3.40,,,,
May,,,,,2.49,4.25,2.00,5.20,,-999.00,,
June,,,,,5.75,4.50,2.75,,,8.60,,
July,,,,,1.00,6.20,6.20,,,5.40,,
August,,,,,1.60,7.60,6.02,9.80,,,,
September,,,,,100.00,3.70,5.75,4.10,,,,
October,,,,,100.00,7.50,7.01,8.40,,-999.00,,
November,,,,,100.00,8.20,4.80,,,7.20,,
December,,,,,4.48,8.50,9.60,6.70,7.70,12.20,,
Total,,,,,100.00,65.98,70.23,51.00,78.95,65.40,,
Calc annual,0.00,0.00,0.00,0.00,426.06,65.98,70.23,51.00,15.60,38.50,,
Difference,NaN,NaN,NaN,NaN,-326.06,0.00,0.00,0.00,63.35,26.90,,
