ABINGDON-THE-SQUARE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU496970,Long,-1.2841837,Lat,51.669593,Elevation,180,ft.,,,,,,,,,,,,
Station no,RR7163,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.47,3.1,0.64,1.48,0.8,1.61,0.7,4.24,2.67,0.52,2.94,1.23,1.44,2.61,
February,,,,,,0.37,1.31,0.88,0.74,0.43,2.8,1.45,1.76,0.88,1.83,3.5,4.24,1.23,0.76,
March,,,,,,2.82,1.23,0.67,2.53,2.51,0.55,1.59,3.15,2.06,3.53,1.08,5.22,1.45,0.61,
April,,,,,,2.01,0.42,1.92,4.71,1.57,2.66,0.93,0.01,3.95,0.94,0.95,0.63,1.64,3.76,
May,,,,,,0.73,1.58,1.93,0.84,1.47,2.15,2.23,2,2.25,1.12,3.82,1.66,1.68,1.51,
June,,,,,,3.54,2.74,2.15,1.38,3.84,4.84,1.29,3.39,0.53,1.7,1.7,1.88,2.95,0.81,
July,,,,,,0.18,0.98,3.24,1.88,2,1.88,0.05,2.16,1.3,3.57,2.97,1.78,3.57,3.84,
August,,,,,,2.96,1.5,1.3,3.14,3.59,2.02,0.73,3.96,0.87,1.75,2.24,3.67,3.32,1.11,
September,,,,,,1.06,0.74,0.67,2.02,2.69,0.35,1.03,1.18,1.78,0.82,2.54,0.86,1.44,5.05,
October,,,,,,1.25,4.04,5.59,1.23,3.73,3.94,2.11,3.33,3.74,2.64,2.37,4.04,4.03,1.55,
November,,,,,,3,3.01,2.06,1.15,0.83,3.01,2.07,1.95,2.34,2.88,1.87,3.17,0.68,2.51,
December,,,,,,0.85,1.91,3.8,2.14,2.91,3.84,4.94,3.23,0.96,5.49,4.1,2.67,0.99,1.58,
Total,,,,,,19.24,22.56,24.85,23.24,26.37,29.65,19.12,30.36,23.33,26.79,30.08,31.05,24.42,25.7,
,,,,,,,,,,,,,,,,,,,,
NGR is the south side of The Square in Abingdon where The Square House was located.,,,,,,,,,,,,,,,,,,,,
The relationships to the church and station broadly match the NGR used.,,,,,,,,,,,,,,,,,,,,
 Altitudes match.,,,,,,,,,,,,,,,,,,,,
